striker,Wk,Overseas
YS Chahal,,
CV Varun,,
Mohammed Shami,,
Avesh Khan,,
F du Plessis,,1
Shubman Gill,,
RD Gaikwad,,
Arshdeep Singh,,
JJ Bumrah,,
TA Boult,,1
V Kohli,,
KL Rahul,,
K Rabada,,1
JC Buttler,1,1
Ravi Bishnoi,,
Mohammed Siraj,,
KK Ahmed,,
SV Samson,1,
YBK Jaiswal,,
SA Yadav,,
Rashid Khan,,1
MM Sharma,,
S Dhawan,,
TU Deshpande,,
PP Chawla,,
A Nortje,,1
PWH de Silva,,1
H Klaasen,,
B Sai Sudharsan,,
Mustafizur Rahman,,
Tilak Varma,,
AD Russell,,1
S Dube,,
JR Hazlewood,,1
RA Jadeja,,
DP Conway,1,
N Pooran,1,
SP Narine,,1
LH Ferguson,,
HV Patel,,
Ishan Kishan,1,
DL Chahar,,
DA Warner,,1
AR Patel,,
RR Pant,1,
DA Miller,,1
DJ Bravo,,1
Q de Kock,1,1
SO Hetmyer,1,
Sandeep Sharma,,
M Prasidh Krishna,,
RG Sharma,,
RA Tripathi,,
Mohsin Khan,,
Umran Malik,,
TM Head,,1
M Theekshana,,1
Yash Dayal,,
UT Yadav,,
RK Singh,,
Noor Ahmad,,
KD Karthik,,1
GJ Maxwell,1,
Harshit Rana,,
RM Patidar,,
SS Iyer,,
J Fraser-McGurk,,1
Naveen-ul-Haq,,1
PD Salt,,1
AK Markram,,1
HH Pandya,,
PP Shaw,,
R Ashwin,,
MM Ali,,1
C Green,,1
SN Thakur,,
I Sharma,,
SM Curran,,1
Mukesh Kumar,,
M Markande,,
MA Agarwal,,
D Padikkal,,
Abhishek Sharma,,
Kuldeep Yadav,,
TG Southee,,1
MP Stoinis,,1
R Parag,,
TH David,,1
NT Ellis,,1
VG Arora,,
JM Bairstow,1,1
KH Pandya,,
PJ Cummins,,1
C Sakariya,,
LS Livingstone,,1
Akash Madhwal,,
SS Tiwary,,
Shashank Singh,,
RP Meredith,,1
Shivam Mavi,,
VR Iyer,,
A Mishra,,
WP Saha,1,
M Jansen,,
P Simran Singh,,
JM Sharma,1,
Mukesh Choudhary,,
DR Sams,,1
B Kumar,,
MS Dhoni,1,
R Sai Kishore,,
RD Chahar,,
N Rana,,
T Stubbs,,
KV Sharma,,
AS Joseph,,1
AM Rahane,,
JJ Roy,,1
MA Starc,,1
MJ Santner,,1
WG Jacks,,1
JP Behrendorff,,1
RR Rossouw,,1
KR Sen,,
Harpreet Brar,,
A Badoni,,
AT Rayudu,1,
MR Marsh,,1
K Kartikeya,,
Vijaykumar Vyshak,,
OC McCoy,,1
JO Holder,,1
MA Wood,,1
M Ashwin,,
CH Morris,,1
KR Mayers,,
K Gowtham,,
Simarjeet Singh,,
NM Coulter-Nile,,1
G Coetzee,,1
Shahbaz Ahmed,,
A Zampa,,1
R Tewatia,,
J Suchith,,
WD Parnell,,1
Abishek Porel,1,
PVD Chameera,,1
S Kaul,,
M Shahrukh Khan,,
DJ Hooda,,
MG Bracewell,,1
Ashutosh Sharma,,
KA Pollard,,
Swapnil Singh,,
CJ Jordan,,1
Rasikh Salam,,
Fazalhaq Farooqi,,1
Dhruv Jurel,1,
DJ Mitchell,,1
KS Williamson,,1
Ramandeep Singh,,
AB de Villiers,1,1
R Dhawan,,
E Lewis,,1
Atharva Taide,,
KA Jamieson,,1
D Pretorius,,1
MK Lomror,,
N Wadhera,,
Nithish Kumar Reddy,,
MK Pandey,,
Naman Dhir,,
V Shankar,,
Abdul Samad,,
RV Uthappa,1,
R Ravindra,,1
R Powell,,1
Kartik Tyagi,,
JD Unadkat,,
Lalit Yadav,,
DG Nalkande,,
A Raghuvanshi,,
PBB Rajapaksa,,1
SD Hope,1,1
KS Bharat,1,
Akash Deep,,
Rahmanullah Gurbaz,1,1
D Brevis,,1
TS Mills,,1
Washington Sundar,,
Navdeep Saini,,
R Shepherd,,1
Sikandar Raza,,1
OF Smith,,1
Arshad Khan,,
Anuj Rawat,1,
SW Billings,1,1
SPD Smith,,1
HC Brook,,1
A Manohar,,
MW Short,,1
Harpreet Singh,,
CH Gayle,,1
Anmolpreet Singh,,
N Jagadeesan,1,
SN Khan,,
PK Garg,,
MS Wade,1,1
SS Prabhudessai,,
Aman Hakim Khan,,
EJG Morgan,,1
A Kamboj,,
A Tomar,,
AA Kulkarni,,
AF Milne,,1
AJ Finch,,1
AJ Hosein,,1
AJ Turner,,1
AS Roy,,1
AU Rashid,,
Abdul Basith,,
Arjun Tendulkar,,
Arshad Khan (2),,
Azmatullah Omarzai,,1
B Indrajith,,
BA Stokes,,1
BR Sharath,,
CA Lynn,,1
D Ferreira,,1
D Wiese,,1
DJ Malan,,1
DJ Willey,,1
DT Christian,,1
FA Allen,,1
GD Phillips,1,1
GHS Garton,,1
Gulbadin Naib,,1
HE van der Dussen,,1
HR Shokeen,,
Harbhajan Singh,,
J Yadav,,
JA Richardson,,1
JC Archer,,1
JDS Neesham,,1
JE Root,,1
K Yadav,,
KA Maharaj,,1
KK Nair,,
KL Nagarkoti,,
KM Asif,,
KM Jadhav,1,
KS Sharma,,
Kumar Kushagra,,
L Wood,,1
LB Williams,,1
Liton Das,1,1
M Vohra,,
MC Henriques,,1
MD Shanaka,,1
MJ Suthar,,
Mandeep Singh,,
Mayank Dagar,,
Mohammad Nabi,,1
Mohit Rathee,,
Mujeeb Ur Rahman,,1
NA Saini,,
P Dubey,,
PJ Sangwan,,
PN Mankad,,
R Sanjay Yadav,,
RA Bawa,,
RJ Gleeson,,1
RJW Topley,,1
RK Bhui,,
RV Patel,,
S Gopal,,
S Nadeem,,
SA Abbott,,1
SB Dubey,,
SE Rutherford,,1
SH Johnson,,1
SK Raina,,
SP Jackson,1,
SZ Mulani,,
Sachin Baby,,
Sameer Rizvi,,
Sanvir Singh,,
Saurav Chauhan,,
Shakib Al Hasan,,
Shivam Singh,,
Sumit Kumar,,
T Kohler-Cadmore,,1
T Shamsi,,
TK Curran,,1
TL Seifert,1,1
Tanush Kotian,,
V Viyaskanth,,
Virat Singh,,
Vishnu Vinod,1,
Vivrant Sharma,,
YV Dhull,,
Yudhvir Singh,,
