,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate,total_runs_scored,Dismissal_Count,Total_batting_average
0,A Badoni,0.0,161.0,238.0,235.0,0.0,139.0,186.0,180.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,12.0,0.0,13.0,0.0,25.0,634.0,505.0,2.0,25.0,38.0,125.54,4.1,9.27,634.0,26.0,24.384615384615383
1,A Kamboj,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,124.0,2.0,2.0,2.0,68.0,124.0,100.0,11.2,11.07,2.0,,
2,A Manohar,0.0,108.0,114.0,9.0,0.0,79.0,86.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,181.0,0.0,0.0,0.0,127.62,0.0,,231.0,14.0,16.5
3,A Mishra,0.0,0.0,19.0,0.0,0.0,0.0,30.0,0.0,6.0,0.0,7.0,1.0,66.0,0.0,115.0,12.0,82.0,0.0,154.0,20.0,19.0,30.0,14.0,193.0,256.0,63.33,32.1,7.98,19.0,1.0,19.0
4,A Nortje,0.0,1.0,37.0,4.0,0.0,7.0,29.0,9.0,12.0,9.0,10.0,7.0,187.0,143.0,251.0,140.0,222.0,230.0,387.0,310.0,42.0,45.0,38.0,721.0,1149.0,93.33,120.1,9.57,42.0,5.0,8.4
5,A Raghuvanshi,0.0,0.0,0.0,163.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,109.0,0.0,0.0,0.0,149.54,0.0,,163.0,7.0,23.285714285714285
6,A Tomar,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,50.0,0.0,,4.0,1.0,4.0
7,A Zampa,0.0,0.0,10.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,192.0,0.0,10.0,17.0,8.0,133.0,192.0,58.82,22.1,8.69,10.0,3.0,3.3333333333333335
8,AA Kulkarni,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,112.5,0.0,,9.0,2.0,4.5
9,AB de Villiers,264.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,183.0,0.0,0.0,0.0,144.26,0.0,,264.0,10.0,26.4
