player,seasons
A Ashish Reddy,['2012' '2013' '2015' '2016']
A Badoni,['2022' '2023' '2024']
A Chandila,['2012' '2013']
A Chopra,['2007/08' '2009']
A Choudhary,['2017']
A Dananjaya,['2018']
A Flintoff,['2009']
A Kamboj,['2024']
A Kumble,['2007/08' '2009' '2009/10']
A Manohar,['2022' '2023' '2024']
A Mishra,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021' '2023' '2024']"
A Mithun,['2009' '2009/10' '2011' '2012' '2013']
A Mukund,['2007/08' '2013']
A Nehra,['2007/08' '2009' '2009/10' '2012' '2013' '2014' '2015' '2016' '2017']
A Nel,['2007/08']
A Nortje,['2020/21' '2021' '2022' '2023' '2024']
A Raghuvanshi,['2024']
A Singh,['2009' '2011' '2012']
A Symonds,['2007/08' '2009' '2009/10' '2011']
A Tomar,['2022']
A Uniyal,['2009/10']
A Zampa,['2016' '2017' '2020/21' '2023']
AA Bilakhia,['2009' '2009/10']
AA Chavan,['2011' '2012' '2013']
AA Jhunjhunwala,['2009/10' '2011' '2012']
AA Kazi,['2011']
AA Kulkarni,['2024']
AA Noffke,['2007/08']
AB Agarkar,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
AB Barath,['2009/10']
AB Dinda,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017']"
AB McDonald,['2009' '2009/10' '2011' '2012' '2013']
AB de Villiers,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021']"
AC Blizzard,['2011' '2012']
AC Gilchrist,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
AC Thomas,['2011' '2012']
AC Voges,['2009/10']
AD Hales,['2018']
AD Mascarenhas,['2007/08' '2009' '2009/10' '2012' '2013']
AD Mathews,['2009' '2009/10' '2012' '2013' '2015' '2017']
AD Nath,['2016' '2017' '2019' '2018']
AD Russell,"['2012' '2013' '2014' '2015' '2016' '2019' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
