,Player,Runs_scored,Matches_played,Inns_batted,Notout,HS,Batting_avg,Balls_faced,batting_strikerate,100,50,4s,6s,POS_y,Wickets_taken,Inns_bowled,Overas_bowled,Runs_given,Bowling_avg,Bowling_economy,Bowling_strikerate,4w,5w,Runs_scored_norm,Batting_avg_norm,batting_strikerate_norm,Wickets_taken_norm,Bowling_avg_norm,Bowling_economy_norm,Batting_score,Bowling_score,Overall_score,Player_type
0,Rishabh Pant  DC,446,13,13,2,88,40.55,287,155.4,0,3,36,25,0,0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.7509259259259259,0.663989061698855,0.0,0.0,1.0,82.44744962874343,40.0,82.44744962874343,Batsman
1,Tristan Stubbs  DC,378,14,13,6,71,54.0,198,190.9,0,3,24,26,72,3,2,2.0,15,5.0,7.5,4.0,0,0,0.8475336322869955,1.0,0.8156725346094685,0.17647058823529413,0.04854368932038835,0.43862275449101795,88.37152132976387,28.133145473758365,58.25233340176111,All-rounder
2,Jake Fraser - McGurk  DC,330,9,9,0,84,36.67,141,234.04,0,4,32,28,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.7399103139013453,0.679074074074074,1.0,0.0,0.0,1.0,79.96863477827603,40.0,79.96863477827603,Batsman
3,Abishek Porel  DC,327,14,12,2,65,32.7,205,159.51,0,2,36,13,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.7331838565022422,0.6055555555555556,0.6815501623654076,0.0,0.0,1.0,67.94052579771858,40.0,67.94052579771858,Batsman
4,Axar Patel  DC,235,14,12,4,66,29.38,179,131.28,0,2,19,10,28,11,14,44.0,337,30.63,7.65,24.0,0,0,0.5269058295964125,0.544074074074074,0.5609297555973338,0.6470588235294118,0.297378640776699,0.4273952095808383,54.22634807399873,55.91933779499825,55.07284293449849,All-rounder
5,Prithvi Shaw  DC,198,8,8,0,66,24.75,121,163.63,0,1,30,5,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.4439461883408072,0.4583333333333333,0.6991539907708084,0.0,0.0,1.0,52.482467256756536,40.0,52.482467256756536,Batsman
6,Shai Hope  DC,183,9,9,1,41,22.88,122,150.0,0,0,12,12,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.4103139013452915,0.4237037037037037,0.6409160827209024,0.0,0.0,1.0,48.35114964654984,40.0,48.35114964654984,Batsman
7,David Warner  DC,168,8,8,0,52,21.0,125,134.4,0,1,17,10,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.37668161434977576,0.3888888888888889,0.5742608101179286,0.0,0.0,1.0,43.961755544195555,40.0,43.961755544195555,Batsman
8,Mitchell Marsh  DC,61,4,4,0,23,15.25,38,160.52,0,0,9,3,97,1,3,8.0,103,103.0,12.87,48.0,0,0,0.1367713004484305,0.2824074074074074,0.6858656639890618,0.058823529411764705,1.0,0.03667664670658688,34.51904415983129,4.996477632969357,0.0,Other Players
9,Kuldeep Yadav  DC,47,11,5,2,35,15.67,41,114.63,0,0,6,1,17,16,11,43.0,374,23.37,8.69,16.12,1,0,0.10538116591928251,0.29018518518518516,0.48978807041531364,0.9411764705882353,0.22689320388349515,0.34955089820359286,27.614444304786268,70.45262416343783,70.45262416343783,Bowler
10,Rasikh Salam  DC,28,8,4,0,10,7.0,30,93.33,0,0,4,0,42,9,8,24.3,269,29.88,10.97,16.33,0,0,0.06278026905829596,0.12962962962962962,0.3987779866689455,0.5294117647058824,0.29009708737864076,0.17889221556886215,18.36343925128909,38.920394505107424,38.920394505107424,Bowler
11,Gulbadin Naib  DC,19,2,1,0,19,19.0,15,126.66,0,0,1,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.042600896860986545,0.35185185185185186,0.54118954024953,0.0,0.0,1.0,28.49527763748092,40.0,0.0,Other Players
12,Sumit Kumar  DC,18,4,3,1,9,9.0,24,75.0,0,0,2,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.04035874439461883,0.16666666666666666,0.3204580413604512,0.0,0.0,1.0,16.228091016598288,40.0,0.0,Other Players
13,Lalit Yadav  DC,10,2,2,0,7,5.0,12,83.33,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.02242152466367713,0.09259259259259259,0.35605024782088535,0.0,0.0,1.0,14.356146198951421,40.0,0.0,Other Players
14,Anrich Nortje  DC,4,6,2,0,4,2.0,8,50.0,0,0,0,0,55,7,6,22.0,294,42.0,13.36,18.85,0,0,0.008968609865470852,0.037037037037037035,0.2136386942403008,0.4117647058823529,0.4077669902912621,0.0,7.879016332938968,24.705882352941174,24.705882352941174,Bowler
15,Mukesh Kumar  DC,3,10,2,1,3,3.0,9,33.33,0,0,0,0,14,17,10,35.3,368,21.64,10.36,12.52,0,0,0.006726457399103139,0.05555555555555555,0.14241155358058452,1.0,0.21009708737864077,0.22455089820359286,6.208071570048328,68.98203592814372,68.98203592814372,Bowler
16,Kumar Kushagra  DC,3,4,3,0,2,1.0,7,42.85,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.006726457399103139,0.018518518518518517,0.1830883609639378,0.0,0.0,1.0,6.317264680437814,40.0,0.0,Other Players
17,Ricky Bhui  DC,3,2,2,0,3,1.5,9,33.33,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.006726457399103139,0.027777777777777776,0.14241155358058452,0.0,0.0,1.0,5.374738236714995,40.0,0.0,Other Players
18,Jhye Richardson  DC,2,1,1,0,2,2.0,2,100.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.004484304932735426,0.037037037037037035,0.4272773884806016,0.0,0.0,1.0,14.108804962838576,40.0,0.0,Other Players
19,Ishant Sharma  DC,1,9,2,2,1,0.0,7,14.28,0,0,0,0,38,10,9,27.0,265,26.5,9.81,16.2,0,0,0.002242152466367713,0.0,0.061015211075029906,0.5882352941176471,0.25728155339805825,0.26571856287425144,1.9201424309056057,45.92286016202888,45.92286016202888,Bowler
20,Lizaad Williams  DC,1,2,1,1,1,0.0,2,50.0,0,0,0,0,96,1,2,6.0,72,72.0,12.0,36.0,0,0,0.002242152466367713,0.0,0.2136386942403008,0.058823529411764705,0.6990291262135923,0.10179640718562866,6.498846925863731,7.6012680521310285,0.0,Other Players
21,Khaleel Ahmed  DC,0,0,0,0,0,0.0,0,0.0,0,0,0,0,13,17,14,50.0,479,28.17,9.58,17.64,0,0,0.0,0.0,0.0,1.0,0.27349514563106797,0.28293413173652693,0.0,71.31736526946108,71.31736526946108,Bowler
