Player,Runs_scored,Matches_played,Inns_batted,Notout,HS,Batting_avg,Balls_faced,batting_strikerate,100,50,4s,6s,POS_y,Wickets_taken,Inns_bowled,Overas_bowled,Runs_given,Bowling_avg,Bowling_economy,Bowling_strikerate,4w,5w
Rishabh Pant  DC,446,13,13,2,88,40.55,287,155.4,0,3,36,25,0,0,0,0,0,0,0,0,0,0
Tristan Stubbs  DC,378,14,13,6,71,54,198,190.9,0,3,24,26,72,3,2,2,15,5,7.5,4,0,0
Jake Fraser - McGurk  DC,330,9,9,0,84,36.67,141,234.04,0,4,32,28,0,0,0,0,0,0,0,0,0,0
Abishek Porel  DC,327,14,12,2,65,32.7,205,159.51,0,2,36,13,0,0,0,0,0,0,0,0,0,0
Axar Patel  DC,235,14,12,4,66,29.38,179,131.28,0,2,19,10,28,11,14,44,337,30.63,7.65,24,0,0
Prithvi Shaw  DC,198,8,8,0,66,24.75,121,163.63,0,1,30,5,0,0,0,0,0,0,0,0,0,0
Shai Hope  DC,183,9,9,1,41,22.88,122,150,0,0,12,12,0,0,0,0,0,0,0,0,0,0
David Warner  DC,168,8,8,0,52,21,125,134.4,0,1,17,10,0,0,0,0,0,0,0,0,0,0
Mitchell Marsh  DC,61,4,4,0,23,15.25,38,160.52,0,0,9,3,97,1,3,8,103,103,12.87,48,0,0
Kuldeep Yadav  DC,47,11,5,2,35,15.67,41,114.63,0,0,6,1,17,16,11,43,374,23.37,8.69,16.12,1,0
Rasikh Salam  DC,28,8,4,0,10,7,30,93.33,0,0,4,0,42,9,8,24.3,269,29.88,10.97,16.33,0,0
Gulbadin Naib  DC,19,2,1,0,19,19,15,126.66,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sumit Kumar  DC,18,4,3,1,9,9,24,75,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Lalit Yadav  DC,10,2,2,0,7,5,12,83.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anrich Nortje  DC,4,6,2,0,4,2,8,50,0,0,0,0,55,7,6,22,294,42,13.36,18.85,0,0
Mukesh Kumar  DC,3,10,2,1,3,3,9,33.33,0,0,0,0,14,17,10,35.3,368,21.64,10.36,12.52,0,0
Kumar Kushagra  DC,3,4,3,0,2,1,7,42.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Bhui  DC,3,2,2,0,3,1.5,9,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhye Richardson  DC,2,1,1,0,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishant Sharma  DC,1,9,2,2,1,0,7,14.28,0,0,0,0,38,10,9,27,265,26.5,9.81,16.2,0,0
Lizaad Williams  DC,1,2,1,1,1,0,2,50,0,0,0,0,96,1,2,6,72,72,12,36,0,0
Khaleel Ahmed  DC,0,0,0,0,0,0,0,0,0,0,0,0,13,17,14,50,479,28.17,9.58,17.64,0,0
