,striker,U_n_n,m_a_t,s_e_a,s_t_a,v_e_n,i_n_n,b_a_l,b_a_t,b_o_w,s_t_r,n_o_n,b_o_w,r_u_n,e_x_t,w_i_d,n_o_b,b_y_e,l_e_g,p_e_n,w_i_c,p_l_a,o_t_h,o_t_h,t_o_t,y_e_a
0,0,striker,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A Badoni,,,1.1910112359550562,1.1,1.4803921568627452,1.0357142857142858,1.4081632653061225,0.8484848484848485,,,106.0,55.0,151.0,87.0,207.0,28.0,,,119.10112359550564,110.0,148.03921568627453,103.57142857142858,140.81632653061226,84.84848484848484
2,2,A Kamboj,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,100.0
3,3,A Manohar,,,1.396551724137931,1.2857142857142858,1.8297872340425527,0.717948717948718,0.5714285714285714,0.5,,,81.0,27.0,86.0,28.0,8.0,1.0,,,139.6551724137931,128.57142857142858,182.9787234042553,71.7948717948718,57.14285714285714,50.0
4,4,A Mishra,,,,,,0.6333333333333333,,,,,,,,19.0,,,,,,,,63.33333333333333,,
5,5,A Nortje,,,,0.1428571428571428,1.0769230769230769,1.4375,,0.4444444444444444,,,,1.0,14.0,23.0,,4.0,,,,14.285714285714285,107.6923076923077,143.75,,44.44444444444444
6,6,A Raghuvanshi,,,,,,,1.5145631067961165,1.1666666666666667,,,,,,,156.0,7.0,,,,,,,151.45631067961165,116.66666666666669
7,7,A Tomar,,,,0.5,,,,,,,,4.0,,,,,,,,50.0,,,,
8,8,A Zampa,,,,,0.7272727272727273,0.3333333333333333,,,,,,,8.0,2.0,,,,,,,72.72727272727273,33.33333333333333,,
9,9,AA Kulkarni,,,,,,,,1.125,,,,,,,,9.0,,,,,,,,112.5
10,10,AB de Villiers,1.664,0.9655172413793104,,,,,,,208.0,56.0,,,,,,,166.4,96.55172413793105,,,,,,
11,11,AD Russell,1.4230769230769231,1.7592592592592593,1.5714285714285714,1.75,1.3763440860215057,1.434782608695652,1.574468085106383,,74.0,95.0,132.0,203.0,128.0,99.0,222.0,,142.30769230769232,175.92592592592592,157.14285714285714,175.0,137.63440860215056,143.47826086956522,157.4468085106383,
12,12,AF Milne,1.0,0.8333333333333334,,,,,,,1.0,15.0,,,,,,,100.0,83.33333333333334,,,,,,
13,13,AJ Finch,,,0.7692307692307693,1.3333333333333333,,,,,,,10.0,76.0,,,,,,,76.92307692307693,133.33333333333331,,,,
14,14,AJ Hosein,,,,,1.4545454545454546,,,,,,,,16.0,,,,,,,,145.45454545454547,,,
15,15,AJ Turner,,,,,,,,1.05,,,,,,,,21.0,,,,,,,,105.0
16,16,AK Markram,1.1129032258064515,1.2622950819672132,1.2741935483870968,1.4046511627906977,1.29,1.19,1.107843137254902,1.258823529411765,69.0,77.0,79.0,302.0,129.0,119.0,113.0,107.0,111.29032258064515,126.22950819672133,127.41935483870968,140.46511627906978,129.0,119.0,110.7843137254902,125.88235294117646
17,17,AM Rahane,,,1.0333333333333334,1.0,1.7608695652173914,1.623762376237624,1.1147540983606556,1.358974358974359,,,62.0,71.0,162.0,164.0,136.0,106.0,,,103.33333333333334,100.0,176.08695652173913,162.3762376237624,111.47540983606557,135.8974358974359
18,18,AR Patel,0.8125,0.7,1.288888888888889,1.6103896103896105,1.3130434782608695,1.306930693069307,1.3303571428571428,1.2112676056338028,26.0,14.0,58.0,124.0,151.0,132.0,149.0,86.0,81.25,70.0,128.88888888888889,161.03896103896105,131.30434782608694,130.6930693069307,133.03571428571428,121.12676056338027
19,19,AS Joseph,,,0.8333333333333334,0.0,,0.5833333333333334,,,,,5.0,0.0,,7.0,,,,,83.33333333333334,0.0,,58.333333333333336,,
20,20,AS Roy,,,,0.0,1.3571428571428572,0.8,1.0,,,,,0.0,19.0,4.0,3.0,,,,,0.0,135.71428571428572,80.0,100.0,
21,21,AT Rayudu,1.5818181818181818,1.25,1.08130081300813,1.3177570093457944,1.4696969696969695,1.2448979591836735,,,174.0,60.0,133.0,141.0,97.0,61.0,,,158.1818181818182,125.0,108.130081300813,131.77570093457945,146.96969696969697,124.48979591836736,,
22,22,AU Rashid,,,,,1.3333333333333333,1.2857142857142858,,,,,,,4.0,18.0,,,,,,,133.33333333333331,128.57142857142858,,
23,23,Abdul Basith,,,,,,1.0,,,,,,,,1.0,,,,,,,,100.0,,
24,24,Abdul Samad,1.2857142857142858,0.8695652173913043,,0.5714285714285714,1.5357142857142858,1.106666666666667,1.8142857142857145,1.2790697674418603,72.0,20.0,,4.0,86.0,83.0,127.0,55.0,128.57142857142858,86.95652173913044,,57.14285714285714,153.57142857142858,110.66666666666669,181.42857142857144,127.90697674418604
25,25,Abhishek Sharma,1.121212121212121,1.3555555555555556,1.3295454545454546,1.2821576763485478,1.4519230769230769,1.2096774193548387,1.7142857142857142,2.226086956521739,37.0,61.0,117.0,309.0,151.0,75.0,228.0,256.0,112.12121212121212,135.55555555555557,132.95454545454547,128.2157676348548,145.19230769230768,120.96774193548389,171.42857142857142,222.6086956521739
26,26,Abishek Porel,,,,,1.5,0.7058823529411765,1.6515151515151516,1.345679012345679,,,,,21.0,12.0,218.0,109.0,,,,,150.0,70.58823529411765,165.15151515151516,134.5679012345679
27,27,Akash Deep,,,,0.0,,2.125,1.0,,,,,0.0,,17.0,2.0,,,,,0.0,,212.5,100.0,
28,28,Akash Madhwal,,,,,,,0.8,,,,,,,,4.0,,,,,,,,80.0,
29,29,Aman Hakim Khan,,,1.6666666666666667,,1.1666666666666667,0.903846153846154,,,,,5.0,,63.0,47.0,,,,,166.66666666666669,,116.66666666666669,90.3846153846154,,
30,30,Anmolpreet Singh,,1.1428571428571428,0.8888888888888888,1.25,1.2407407407407407,1.3103448275862069,0.8333333333333334,0.0,,16.0,8.0,5.0,67.0,38.0,5.0,0.0,,114.28571428571428,88.88888888888889,125.0,124.07407407407408,131.0344827586207,83.33333333333334,0.0
31,31,Anuj Rawat,,0.0,0.8333333333333334,1.118279569892473,1.3432835820895523,0.2,1.7586206896551724,0.9215686274509804,,0.0,25.0,104.0,90.0,1.0,51.0,47.0,,0.0,83.33333333333334,111.8279569892473,134.32835820895522,20.0,175.86206896551724,92.15686274509804
32,32,Arjun Tendulkar,,,,,,1.4444444444444444,,,,,,,,13.0,,,,,,,,144.44444444444443,,
