,player,batting_avg_2021_innings_1,batting_avg_2021_innings_2,batting_avg_2022_innings_1,batting_avg_2022_innings_2,batting_avg_2023_innings_1,batting_avg_2023_innings_2,batting_avg_2024_innings_1,batting_avg_2024_innings_2,dismissals_2021_innings_1,dismissals_2021_innings_2,dismissals_2022_innings_1,dismissals_2022_innings_2,dismissals_2023_innings_1,dismissals_2023_innings_2,dismissals_2024_innings_1,dismissals_2024_innings_2,runs_scored_2021_innings_1,runs_scored_2021_innings_2,runs_scored_2022_innings_1,runs_scored_2022_innings_2,runs_scored_2023_innings_1,runs_scored_2023_innings_2,runs_scored_2024_innings_1,runs_scored_2024_innings_2,strike_rate_2021_innings_1,strike_rate_2021_innings_2,strike_rate_2022_innings_1,strike_rate_2022_innings_2,strike_rate_2023_innings_1,strike_rate_2023_innings_2,strike_rate_2024_innings_1,strike_rate_2024_innings_2
0,A Badoni,0.0,0.0,26.5,13.75,37.75,14.5,51.75,7.0,0,0,4,4,4,6,4,4,0,0,106,55,151,87,207,28,0.0,0.0,119.1,110.0,148.04,103.57,140.82,84.85
1,A Kamboj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,A Manohar,0.0,0.0,20.25,13.5,21.5,14.0,8.0,1.0,0,0,4,2,4,2,1,1,0,0,81,27,86,28,8,1,0.0,0.0,139.66,128.57,182.98,71.79,57.14,50.0
3,A Mishra,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0.0,0.0,0.0,0.0,0.0,63.33,0.0,0.0
4,A Nortje,0.0,0.0,0.0,1.0,7.0,23.0,0.0,2.0,0,0,0,0,2,1,0,2,0,0,0,1,14,23,0,4,0.0,0.0,0.0,14.29,107.69,143.75,0.0,44.44
5,A Raghuvanshi,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,156,7,0.0,0.0,0.0,0.0,0.0,0.0,151.46,116.67
6,A Tomar,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
7,A Zampa,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.0,0.0,72.73,33.33,0.0,0.0
8,AA Kulkarni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5
9,AB de Villiers,41.6,18.67,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,0,208,56,0,0,0,0,0,0,166.4,96.55,0.0,0.0,0.0,0.0,0.0,0.0
10,AD Russell,37.0,31.67,44.0,33.83,25.6,16.5,31.71,0.0,2,3,3,6,5,6,7,0,74,95,132,203,128,99,222,0,142.31,175.93,157.14,175.0,137.63,143.48,157.45,0.0
11,AF Milne,1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,1,15,0,0,0,0,0,0,100.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0
12,AJ Finch,0.0,0.0,5.0,25.33,0.0,0.0,0.0,0.0,0,0,2,3,0,0,0,0,0,0,10,76,0,0,0,0,0.0,0.0,76.92,133.33,0.0,0.0,0.0,0.0
