,striker,runs_in_1_2021,runs_in_1_2022,runs_in_1_2023,runs_in_1_2024,runs_in_2_2021,runs_in_2_2022,runs_in_2_2023,runs_in_2_2024
0,A Badoni,,106.0,151.0,207.0,,55.0,87.0,28.0
1,A Kamboj,,,,,,,,2.0
2,A Manohar,,81.0,86.0,8.0,,27.0,28.0,1.0
3,A Mishra,,,,,,,19.0,
4,A Nortje,,,14.0,,,1.0,23.0,4.0
5,A Raghuvanshi,,,,156.0,,,,7.0
6,A Tomar,,,,,,4.0,,
7,A Zampa,,,8.0,,,,2.0,
8,AA Kulkarni,,,,,,,,9.0
9,AB de Villiers,208.0,,,,56.0,,,
10,AD Russell,74.0,132.0,128.0,222.0,95.0,203.0,99.0,
11,AF Milne,1.0,,,,15.0,,,
12,AJ Finch,,10.0,,,,76.0,,
13,AJ Hosein,,,16.0,,,,,
14,AJ Turner,,,,,,,,21.0
15,AK Markram,69.0,79.0,129.0,113.0,77.0,302.0,119.0,107.0
16,AM Rahane,,62.0,162.0,136.0,,71.0,164.0,106.0
17,AR Patel,26.0,58.0,151.0,149.0,14.0,124.0,132.0,86.0
18,AS Joseph,,5.0,,,,0.0,7.0,
19,AS Roy,,,19.0,3.0,,0.0,4.0,
20,AT Rayudu,174.0,133.0,97.0,,60.0,141.0,61.0,
21,AU Rashid,,,4.0,,,,18.0,
22,Abdul Basith,,,,,,,1.0,
23,Abdul Samad,72.0,,86.0,127.0,20.0,4.0,83.0,55.0
24,Abhishek Sharma,37.0,117.0,151.0,228.0,61.0,309.0,75.0,256.0
25,Abishek Porel,,,21.0,218.0,,,12.0,109.0
26,Akash Deep,,,,2.0,,0.0,17.0,
27,Akash Madhwal,,,,4.0,,,,
28,Aman Hakim Khan,,5.0,63.0,,,,47.0,
29,Anmolpreet Singh,,8.0,67.0,5.0,16.0,5.0,38.0,0.0
30,Anuj Rawat,,25.0,90.0,51.0,0.0,104.0,1.0,47.0
31,Arjun Tendulkar,,,,,,,13.0,
32,Arshad Khan,,,18.0,20.0,,,,58.0
33,Arshad Khan (2),,,,5.0,,,,
34,Arshdeep Singh,2.0,19.0,,,,2.0,2.0,4.0
35,Ashutosh Sharma,,,,36.0,,,,153.0
36,Atharva Taide,,,48.0,61.0,,,138.0,
37,Avesh Khan,5.0,2.0,,3.0,,20.0,0.0,7.0
38,Azmatullah Omarzai,,,,17.0,,,,25.0
39,B Indrajith,,6.0,,,,15.0,,
40,B Kumar,14.0,1.0,2.0,6.0,18.0,23.0,40.0,17.0
41,B Sai Sudharsan,,76.0,259.0,283.0,,69.0,103.0,244.0
42,BA Stokes,,,15.0,,,,,
43,BR Sharath,,,,,,,,2.0
44,C Green,,,131.0,236.0,,,321.0,19.0
45,C Sakariya,15.0,,,,1.0,,4.0,
46,CH Gayle,110.0,,,,43.0,,,
47,CH Morris,29.0,,,,0.0,,,
48,CJ Jordan,32.0,6.0,4.0,,,5.0,2.0,
49,CV Varun,,10.0,1.0,,2.0,2.0,0.0,
50,D Brevis,,41.0,,0.0,,120.0,,69.0
51,D Ferreira,,,,7.0,,,,1.0
52,D Padikkal,195.0,333.0,81.0,25.0,205.0,43.0,180.0,13.0
53,D Pretorius,,0.0,,,,44.0,,
54,D Wiese,,,20.0,,,,1.0,
55,DA Miller,29.0,161.0,128.0,86.0,33.0,320.0,131.0,124.0
56,DA Warner,57.0,162.0,157.0,81.0,81.0,270.0,359.0,87.0
57,DG Nalkande,,,,,,,0.0,12.0
