,Unnamed: 0,Player,Runs_scored,Mathces_played,NO,HS,Batting_avg,Ballsfaced,Batting_strikerate,100,50,4s,6s,Wkts_taken,Overs_bowled,Runs_given,Bowling_avg,Bowling_economy,bowling_strikerate,4w,5w,Runs_scored_norm,Batting_avg_norm,Batting_strikerate_norm,Wkts_taken_norm,Bowling_economy_norm,Player_type,Overall_score
0,0,Andre Russell,222,15,2,64,31.71,120,185.0,0,1,20,16,19,29.2,295,15.52,10.05,9.26,0,0,0.45491803278688525,0.6856216216216217,0.9176132136302763,0.9047619047619048,0.05278039585296879,All-rounder,61.345348244432685
1,1,Angkrish Raghuvanshi,163,10,0,54,23.29,105,155.23,0,1,16,8,0,0.0,0,0.0,0.0,0.0,0,0,0.33401639344262296,0.5035675675675676,0.7699518873071771,0.0,1.0,Batsman,51.56623938394726
2,2,Anukul Roy,3,4,1,3,0.0,3,100.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.006147540983606557,0.0,0.496007142502852,0.0,1.0,Other Players,0.0
3,3,Harshit Rana,0,0,0,0,0.0,0,0.0,0,0,0,0,19,42.1,383,20.15,9.08,13.31,0,0,0.0,0.0,0.0,0.9047619047619048,0.1442035815268614,Bowler,60.053857546788734
4,4,Manish Pandey,42,1,0,42,42.0,31,135.48,0,0,2,2,0,0.0,0,0.0,0.0,0.0,0,0,0.0860655737704918,0.9081081081081082,0.6719904766628638,0.0,1.0,Other Players,0.0
5,5,Mitchell Starc,9,14,3,6,4.5,11,81.81,0,0,1,0,17,41.5,444,26.11,10.61,14.76,1,0,0.018442622950819672,0.0972972972972973,0.4057834432815832,0.8095238095238095,0.0,Bowler,48.57142857142857
6,6,Nitish Rana,42,2,0,33,21.0,34,123.52,0,0,5,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0860655737704918,0.4540540540540541,0.6126680224195228,0.0,1.0,Other Players,0.0
7,7,Phil Salt,435,12,1,89,39.55,239,182.0,0,4,50,24,0,0.0,0,0.0,0.0,0.0,0,0,0.8913934426229508,0.8551351351351351,0.9027329993551907,0.0,1.0,Batsman,88.3917817396278
8,8,Rahmanullah Gurbaz,62,3,0,39,31.0,46,134.78,0,0,7,4,0,0.0,0,0.0,0.0,0.0,0,0,0.12704918032786885,0.6702702702702703,0.6685184266653439,0.0,1.0,Other Players,0.0
9,9,Ramandeep Singh,125,15,5,35,31.25,62,201.61,0,0,5,12,0,0.0,0,0.0,0.0,0.0,0,0,0.25614754098360654,0.6756756756756757,1.0,0.0,1.0,Batsman,60.516171909614535
10,10,Rinku Singh,168,15,2,26,18.67,113,148.67,0,0,13,8,0,0.0,0,0.0,0.0,0.0,0,0,0.3442622950819672,0.4036756756756757,0.73741381875899,0.0,1.0,Batsman,48.003176636318656
11,11,Shreyas Iyer,351,15,5,58,39.0,239,146.86,0,2,34,14,0,0.0,0,0.0,0.0,0.0,0,0,0.7192622950819673,0.8432432432432433,0.7284360894796885,0.0,1.0,Batsman,75.92087178496665
12,12,Sunil Narine,488,15,0,109,34.86,270,180.74,1,3,50,33,17,55.0,368,21.64,6.69,19.41,0,0,1.0,0.7537297297297297,0.8964833093596548,0.8095238095238095,0.3694627709707822,All-rounder,76.42816529147069
13,13,Vaibhav Arora,1,10,2,1,0.0,1,100.0,0,0,0,0,11,30.0,276,25.09,9.2,16.36,0,0,0.0020491803278688526,0.0,0.496007142502852,0.5238095238095238,0.1328934967012253,Bowler,36.74431129662044
14,14,Varun Chakaravarthy,0,15,0,0,0.0,0,0.0,0,0,0,0,21,50.0,402,19.14,8.04,14.28,0,0,0.0,0.0,0.0,1.0,0.2422243166823752,Bowler,69.68897266729502
15,15,Venkatesh Iyer,370,15,5,70,46.25,233,158.79,0,4,35,19,0,0.0,0,0.0,0.0,0.0,0,0,0.7581967213114754,1.0,0.7876097415802786,0.0,1.0,Batsman,83.95616109986737
