,Player,Runs_scored_2024,Mathces_played_2022_bt,HS_2022,Batting_avg_2022,Ballsfaced_2022,Batting_strikerate_2022,4s_2022,6s_2022,Wkts_taken_2022,Matches_played_2022_bb,Overs_bowled_2022,Runs_given_2022,Bowling_avg_2022,Bowling_economy_2022,bowling_strikerate_2022,4w_2022,5w_2022
0,Aaron Finch,86,5,58,17.2,61,140.98,10,3,0,0,0,0,0,0,0,0,0
1,Abhijeet Tomar,4,1,4,4,8,50,1,0,0,0,0,0,0,0,0,0,0
2,Ajinkya Rahane,133,7,44,19,128,103.9,14,4,0,0,0,0,0,0,0,0,0
3,Aman Khan,5,1,5,5,3,166.66,1,0,0,0,0,0,0,0,0,0,0
4,Andre Russell,335,14,70*,37.22,192,174.47,18,32,17,14,28.1,278,16.35,9.86,9.94,1,0
5,Anukul Roy,0,0,0,0,0,0,0,0,1,2,7,55,55,7.85,42,0,0
6,B Indrajith,21,3,15,7,30,70,2,0,0,0,0,0,0,0,0,0,0
7,Harshit Rana,2,2,2,2,2,100,0,0,1,2,5,51,51,10.2,30,0,0
8,Nitish Rana,361,14,57,27.77,251,143.82,29,22,0,0,0,0,0,0,0,0,0
9,Pat Cummins,63,5,56*,15.75,24,262.5,5,6,7,5,19.5,212,30.28,10.68,17,0,0
10,Rasikh Salam,7,2,7,7,6,116.66,1,0,0,0,0,0,0,0,0,0,0
11,Rinku Singh,174,7,42*,34.8,117,148.71,17,7,0,0,0,0,0,0,0,0,0
12,Sam Billings,169,8,36,24.14,138,122.46,9,10,0,0,0,0,0,0,0,0,0
13,Sheldon Jackson,23,5,8,5.75,26,88.46,0,1,0,0,0,0,0,0,0,0,0
14,Shivam Mavi,3,6,2,1.5,7,42.85,0,0,5,6,22,227,45.4,10.31,26.4,0,0
15,Shreyas Iyer,401,14,85,30.85,298,134.56,41,11,0,0,0,0,0,0,0,0,0
16,Sunil Narine,71,14,22,8.88,40,177.5,6,6,9,14,56,312,34.66,5.57,37.33,0,0
17,Tim Southee,2,9,1*,0.5,12,16.66,0,0,14,9,35,275,19.64,7.85,15,0,0
18,Umesh Yadav,55,12,21,13.75,40,137.5,4,4,16,12,48,339,21.18,7.06,18,1,0
19,Varun Chakaravarthy,12,11,10*,-,18,66.66,2,0,6,11,39,332,55.33,8.51,39,0,0
20,Venkatesh Iyer,182,12,50*,16.55,169,107.69,17,7,0,0,0,0,0,0,0,0,0
