,Player,Total matches,Total_runs_scored,Total_balls_faced,Avg_Strike_Rate,Total_batting_average,Total_wickets_taken,Overall_economy,Total_runs_given
0,Aaron Finch,5,86,61,140.98,17.2,0,0.0,0
1,Abhijeet Tomar,1,4,8,50.0,4.0,0,0.0,0
2,Ajinkya Rahane,7,133,128,103.9,19.0,0,0.0,0
3,Aman Khan,1,5,3,166.66,5.0,0,0.0,0
4,Andre Russell,43,784,468,168.32666666666668,29.856666666666666,43,10.416666666666666,745
5,Angkrish Raghuvanshi,10,163,105,155.23,23.29,0,0.0,0
6,Anukul Roy,10,26,22,110.525,11.5,4,7.984999999999999,120
7,B Indrajith,3,21,30,70.0,7.0,0,0.0,0
8,David Wiese,3,21,11,190.9,21.0,0,0.0,0
9,Harshit Rana,21,2,2,100.0,2.0,25,9.306666666666667,581
10,Jagadeesan Narayan,6,89,81,109.87,14.83,0,0.0,0
11,Jason Roy,8,285,188,151.59,35.63,0,0.0,0
12,Kulwant Khejroliya,2,0,0,0.0,0.0,2,14.76,64
13,Litton Das,1,4,4,100.0,4.0,0,0.0,0
14,Lockie Ferguson,3,0,0,0.0,0.0,1,12.52,96
15,Mandeep Singh,3,14,16,87.5,4.67,0,0.0,0
16,Manish Pandey,1,42,31,135.48,42.0,0,0.0,0
17,Mitchell Starc,14,9,11,81.81,4.5,17,10.61,444
18,Nitish Rana,30,816,578,136.09666666666666,26.846666666666664,3,8.49,75
19,Pat Cummins,5,63,24,262.5,15.75,7,10.68,212
20,Phil Salt,12,435,239,182.0,39.55,0,0.0,0
21,Rahmanullah Gurbaz,14,289,216,134.15,25.82,0,0.0,0
22,Ramandeep Singh,15,125,62,201.61,31.25,0,0.0,0
23,Rasikh Salam,2,7,6,116.66,7.0,0,0.0,0
24,Rinku Singh,36,816,547,148.96666666666667,37.57333333333333,0,0.0,0
25,Sam Billings,8,169,138,122.46,24.14,0,0.0,0
26,Shardul Thakur,11,113,70,161.42,14.13,7,10.47,220
27,Sheldon Jackson,5,23,26,88.46,5.75,0,0.0,0
28,Shivam Mavi,6,3,7,42.85,1.5,5,10.31,227
29,Shreyas Iyer,29,752,537,140.71,34.925,0,0.0,0
30,Sunil Narine,43,580,335,147.41333333333333,15.58,37,6.743333333333333,1063
31,Suyash Sharma,11,0,0,0.0,0.0,10,8.23,321
32,Tim Southee,11,2,12,16.66,0.5,16,10.504999999999999,354
33,Umesh Yadav,20,74,58,121.525,11.625,17,8.5,528
34,Vaibhav Arora,15,4,3,125.0,0.0,16,9.16,422
35,Varun Chakaravarthy,40,13,27,38.885,1.0,47,8.229999999999999,1163
36,Venkatesh Iyer,41,956,679,137.44,30.55333333333333,0,0.0,0
