,Player,Runs_scored_2024,Mathces_played_2024_bt,HS_2024,Batting_avg_2024,Ballsfaced_2024,Batting_strikerate_2024,4s_2024,6s_2024,Wkts_taken_2024,Matches_played_2024_bb,Overs_bowled_2024,Runs_given_2024,Bowling_avg_2024,Bowling_economy_2024,bowling_strikerate_2024,4w_2024,5w_2024
0,Andre Russell,222,15,64,31.71,120,185,20,16,19,15,29.2,295,15.52,10.05,9.26,0,0
1,Angkrish Raghuvanshi,163,10,54,23.29,105,155.23,16,8,0,0,0,0,0,0,0,0,0
2,Anukul Roy,3,4,3,0,3,100,0,0,0,0,0,0,0,0,0,0,0
3,Harshit Rana,0,0,0,0,0,0,0,0,19,13,42.1,383,20.15,9.08,13.31,0,0
4,Manish Pandey,42,1,42,42,31,135.48,2,2,0,0,0,0,0,0,0,0,0
5,Mitchell Starc,9,14,6,4.5,11,81.81,1,0,17,14,41.5,444,26.11,10.61,14.76,1,0
6,Nitish Rana,42,2,33,21,34,123.52,5,1,0,0,0,0,0,0,0,0,0
7,Phil Salt,435,12,89,39.55,239,182,50,24,0,0,0,0,0,0,0,0,0
8,Rahmanullah Gurbaz,62,3,39,31,46,134.78,7,4,0,0,0,0,0,0,0,0,0
9,Ramandeep Singh,125,15,35,31.25,62,201.61,5,12,0,0,0,0,0,0,0,0,0
10,Rinku Singh,168,15,26,18.67,113,148.67,13,8,0,0,0,0,0,0,0,0,0
11,Shreyas Iyer,351,15,58,39,239,146.86,34,14,0,0,0,0,0,0,0,0,0
12,Sunil Narine,488,15,109,34.86,270,180.74,50,33,17,15,55,368,21.64,6.69,19.41,0,0
13,Vaibhav Arora,1,10,1,0,1,100,0,0,11,10,30,276,25.09,9.2,16.36,0,0
14,Varun Chakaravarthy,0,0,0,0,0,0,0,0,21,15,50,402,19.14,8.04,14.28,0,0
15,Venkatesh Iyer,370,15,70,46.25,233,158.79,35,19,0,0,0,0,0,0,0,0,0
