POS,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
16,Shreyas Iyer,KKR,401,14,14,1,85,30.85,298,134.56,0,3,41,11
21,Nitish Rana,KKR,361,14,14,1,57,27.77,251,143.82,0,2,29,22
24,Andre Russell,KKR,335,14,12,3,70*,37.22,192,174.47,0,1,18,32
55,Venkatesh Iyer,KKR,182,12,12,1,50*,16.55,169,107.69,0,1,17,7
56,Rinku Singh,KKR,174,7,7,2,42*,34.80,117,148.71,0,0,17,7
57,Sam Billings,KKR,169,8,8,1,36,24.14,138,122.46,0,0,9,10
65,Ajinkya Rahane,KKR,133,7,7,0,44,19.00,128,103.90,0,0,14,4
76,Aaron Finch,KKR,86,5,5,0,58,17.20,61,140.98,0,1,10,3
79,Sunil Narine,KKR,71,14,10,2,22,8.88,40,177.50,0,0,6,6
82,Pat Cummins,KKR,63,5,5,1,56*,15.75,24,262.50,0,1,5,6
86,Umesh Yadav,KKR,55,12,7,3,21,13.75,40,137.50,0,0,4,4
109,Sheldon Jackson,KKR,23,5,5,1,8,5.75,26,88.46,0,0,0,1
115,B Indrajith,KKR,21,3,3,0,15,7.00,30,70.00,0,0,2,0
125,Varun Chakaravarthy,KKR,12,11,4,4,10*,-,18,66.66,0,0,2,0
134,Rasikh Salam,KKR,7,2,1,0,7,7.00,6,116.66,0,0,1,0
141,Aman Khan,KKR,5,1,1,0,5,5.00,3,166.66,0,0,1,0
149,Abhijeet Tomar,KKR,4,1,1,0,4,4.00,8,50.00,0,0,1,0
153,Shivam Mavi,KKR,3,6,3,1,2,1.50,7,42.85,0,0,0,0
154,Harshit Rana,KKR,2,2,2,1,2,2.00,2,100.00,0,0,0,0
160,Tim Southee,KKR,2,9,5,1,1*,0.50,12,16.66,0,0,0,0
