POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
8,Varun Chakaravarthy,KKR,20,14,14,52.4,429,15/4,21.45,8.14,15.80,1,0
27,Sunil Narine,KKR,11,14,14,48.0,383,33/3,34.81,7.97,26.18,0,0
31,Suyash Sharma,KKR,10,11,11,39.0,321,30/3,32.10,8.23,23.40,0,0
53,Shardul Thakur,KKR,7,11,9,21.0,220,23/2,31.42,10.47,18.00,0,0
56,Andre Russell,KKR,7,14,9,15.1,172,22/3,24.57,11.34,13.00,0,0
59,Harshit Rana,KKR,5,6,6,17.0,147,33/2,29.40,8.64,20.40,0,0
61,Vaibhav Arora,KKR,5,5,5,16.0,146,30/2,29.20,9.12,19.20,0,0
71,Anukul Roy,KKR,3,4,3,8.0,65,19/2,21.66,8.12,16.00,0,0
74,Nitish Rana,KKR,3,14,6,8.5,75,17/2,25.00,8.49,17.66,0,0
93,Tim Southee,KKR,2,2,2,6.0,79,54/2,39.50,13.16,18.00,0,0
95,Kulwant Khejroliya,KKR,2,2,2,4.2,64,44/2,32.00,14.76,13.00,0,0
105,Umesh Yadav,KKR,1,8,8,19.0,189,27/1,189.00,9.94,114.00,0,0
110,Lockie Ferguson,KKR,1,3,3,7.4,96,19/1,96.00,12.52,46.00,0,0
