,Player,Runs_scored,Mathces_played,NO,HS,Batting_avg,Ballsfaced,Batting_strikerate,100,50,4s,6s,Wkts_taken,Overs_bowled,Runs_given,Bowling_avg,Bowling_economy,bowling_strikerate,4w,5w
0,Andre Russell,222,15,2,64,31.71,120,185,0,1,20,16,19,29.2,295,15.52,10.05,9.26,0,0
1,Angkrish Raghuvanshi,163,10,0,54,23.29,105,155.23,0,1,16,8,0,0,0,0,0,0,0,0
2,Anukul Roy,3,4,1,3,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0
3,Harshit Rana,0,0,0,0,0,0,0,0,0,0,0,19,42.1,383,20.15,9.08,13.31,0,0
4,Manish Pandey,42,1,0,42,42,31,135.48,0,0,2,2,0,0,0,0,0,0,0,0
5,Mitchell Starc,9,14,3,6,4.5,11,81.81,0,0,1,0,17,41.5,444,26.11,10.61,14.76,1,0
6,Nitish Rana,42,2,0,33,21,34,123.52,0,0,5,1,0,0,0,0,0,0,0,0
7,Phil Salt,435,12,1,89,39.55,239,182,0,4,50,24,0,0,0,0,0,0,0,0
8,Rahmanullah Gurbaz,62,3,0,39,31,46,134.78,0,0,7,4,0,0,0,0,0,0,0,0
9,Ramandeep Singh,125,15,5,35,31.25,62,201.61,0,0,5,12,0,0,0,0,0,0,0,0
10,Rinku Singh,168,15,2,26,18.67,113,148.67,0,0,13,8,0,0,0,0,0,0,0,0
11,Shreyas Iyer,351,15,5,58,39,239,146.86,0,2,34,14,0,0,0,0,0,0,0,0
12,Sunil Narine,488,15,0,109,34.86,270,180.74,1,3,50,33,17,55,368,21.64,6.69,19.41,0,0
13,Vaibhav Arora,1,10,2,1,0,1,100,0,0,0,0,11,30,276,25.09,9.2,16.36,0,0
14,Varun Chakaravarthy,0,15,0,0,0,0,0,0,0,0,0,21,50,402,19.14,8.04,14.28,0,0
15,Venkatesh Iyer,370,15,5,70,46.25,233,158.79,0,4,35,19,0,0,0,0,0,0,0,0
