,Player,Player_type,Overall_score
0,Aaron Finch,Other Players,0.0
1,Abhijeet Tomar,Other Players,0.0
2,Ajinkya Rahane,Batsman,31.01056784219964
3,Aman Khan,Other Players,0.0
4,Andre Russell,All-rounder,70.01551957498944
5,Angkrish Raghuvanshi,Batsman,41.19636939629408
6,Anukul Roy,Other Players,0.0
7,B Indrajith,Other Players,0.0
8,David Wiese,Other Players,0.0
9,Harshit Rana,Bowler,46.693574737165804
10,Jagadeesan Narayan,Other Players,0.0
11,Jason Roy,Batsman,54.69925762104004
12,Kulwant Khejroliya,Other Players,0.0
13,Litton Das,Other Players,0.0
14,Lockie Ferguson,Other Players,0.0
15,Mandeep Singh,Other Players,0.0
16,Manish Pandey,Other Players,0.0
17,Mitchell Starc,Bowler,32.948740125699125
18,Nitish Rana,All-rounder,44.84700590253146
19,Pat Cummins,Bowler,19.99308078187165
20,Phil Salt,Batsman,67.25083682008368
21,Rahmanullah Gurbaz,Batsman,45.86633592349073
22,Ramandeep Singh,Batsman,50.59269695158398
23,Rasikh Salam,Other Players,0.0
24,Rinku Singh,Batsman,78.00511655708308
25,Sam Billings,Batsman,38.30941542139868
26,Shardul Thakur,All-rounder,26.915538544294524
27,Sheldon Jackson,Other Players,0.0
28,Shivam Mavi,Other Players,0.0
29,Shreyas Iyer,Batsman,72.49200657501494
30,Sunil Narine,All-rounder,60.60150921214256
31,Suyash Sharma,Bowler,30.462434411578155
32,Tim Southee,Bowler,31.956697226546737
33,Umesh Yadav,Bowler,38.66689730727095
34,Vaibhav Arora,Bowler,35.601683676411234
35,Varun Chakaravarthy,Bowler,77.69647696476964
36,Venkatesh Iyer,Batsman,77.5312380952381
