striker,totalrunsscored,Total_batting_average,batting_strike_rate,totalballsfaced,totalwickets,economyrate,oversbowled_clean
Rishabh Pant,446,40.55,155.4,287,0,0,0
Tristan Stubbs,378,54,190.9,198,3,7.5,2
Jake Fraser - McGurk,330,36.67,234.04,141,0,0,0
Abishek Porel,327,32.7,159.51,205,0,0,0
Axar Patel,235,29.38,131.28,179,11,7.65,44
Prithvi Shaw,198,24.75,163.63,121,0,0,0
Shai Hope,183,22.88,150,122,0,0,0
David Warner,168,21,134.4,125,0,0,0
Mitchell Marsh,61,15.25,160.52,38,1,12.87,8
Kuldeep Yadav,47,15.67,114.63,41,16,8.69,43
Rasikh Salam,28,7,93.33,30,9,10.97,0
Gulbadin Naib,19,19,126.66,15,0,0,0
Sumit Kumar,18,9,75,24,0,0,0
Lalit Yadav,10,5,83.33,12,0,0,0
Anrich Nortje,4,2,50,8,7,13.36,6
Mukesh Kumar,3,3,33.33,9,17,21.64,17
Kumar Kushagra,3,1,42.85,7,0,0,0
Ricky Bhui,3,1.5,33.33,9,0,0,0
Jhye Richardson,2,2,100,2,0,0,0
Ishant Sharma,1,0,14.28,7,10,26.5,9
Lizaad Williams,1,0,50,2,1,72,2
Khaleel Ahmed,0,0,0,0,17,28.17,14
