striker,totalrunsscored,Total_batting_average,batting_strike_rate,totalballsfaced,totalwickets,economyrate,oversbowled_clean,totalrunsscored_norm,Total_batting_average_norm,batting_strike_rate_norm,totalwickets_norm,economyrate_norm,Player_type,Overall_score
YS Chahal,15,15,42.86,35,84,8.2,231.5,0.00664599,0.217391304,0.142866667,1,0.692538433,Bowler,87.70153731
CV Varun,15,7.5,45.45,33,64,8.02,207.2,0.00664599,0.108695652,0.1515,0.761904762,0.699287589,Bowler,73.68578928
Mohammed Shami,18,6,72,25,63,8.15,177.4,0.007975188,0.086956522,0.24,0.75,0.694413198,Bowler,72.77652793
Avesh Khan,37,18.5,168.18,22,64,9.07,192.4,0.016393443,0.268115942,0.5606,0.761904762,0.65991751,Bowler,72.11098613
F du Plessis,2257,39.59649123,141.59,1594,0,0,0,1,0.573862192,0.471966667,0,1,Batsman,71.37486575
Shubman Gill,2229,39.10526316,136.83,1629,0,0,0,0.987594152,0.566742944,0.4561,0,1,Batsman,70.18905439
RD Gaikwad,2171,40.96226415,135.77,1599,0,0,0,0.961896323,0.593656002,0.452566667,0,1,Batsman,69.86253297
Arshdeep Singh,29,7.25,74.36,39,61,9.16,201,0.012848914,0.105072464,0.247866667,0.726190476,0.656542932,Bowler,69.83314586
JJ Bumrah,27,6.75,77.14,35,54,7.38,158.5,0.011962782,0.097826087,0.257133333,0.642857143,0.723284589,Bowler,67.50281215
TA Boult,71,14.2,105.97,67,55,8.3,203.4,0.031457687,0.205797101,0.353233333,0.654761905,0.688788901,Bowler,66.83727034
V Kohli,2060,38.86792453,131.71,1564,0,0,0,0.912715995,0.563303254,0.439033333,0,1,Batsman,66.57873741
KL Rahul,1945,44.20454545,127.12,1530,0,0,0,0.861763403,0.640645586,0.423733333,0,1,Batsman,66.4019037
K Rabada,72,10.28571429,105.88,68,54,9.1,172.2,0.031900753,0.149068323,0.352933333,0.642857143,0.658792651,Bowler,64.92313461
JC Buttler,1841,40.91111111,140.21,1313,0,0,0,0.815684537,0.592914654,0.467366667,0,1,Batsman,64.43582109
Ravi Bishnoi,25,3.571428571,62.5,40,51,8.09,190.2,0.01107665,0.051759834,0.208333333,0.607142857,0.696662917,Bowler,64.29508811
Mohammed Siraj,63,10.5,91.3,69,52,8.9,212.3,0.027913159,0.152173913,0.304333333,0.619047619,0.666291714,Bowler,63.79452568
KK Ahmed,1,0.333333333,25,4,47,9.05,157.4,0.000443066,0.004830918,0.083333333,0.55952381,0.660667417,Bowler,59.99812523
SV Samson,1712,33.56862745,139.07,1231,0,0,0,0.758529021,0.486501847,0.463566667,0,1,Batsman,58.84321625
YBK Jaiswal,1567,33.34042553,149.1,1051,0,0,0,0.694284448,0.483194573,0.497,0,1,Batsman,57.17721512
SA Yadav,1483,32.95555556,160.5,924,0,0,0,0.657066903,0.477616747,0.535,0,1,Batsman,56.66117853
Rashid Khan,389,18.52380952,157.49,247,70,7.81,224.4,0.172352681,0.268461008,0.524966667,0.833333333,0.707161605,All-rounder,54.49170082
MM Sharma,2,1,11.76,17,40,9.47,85.3,0.000886132,0.014492754,0.0392,0.476190476,0.644919385,Bowler,54.36820397
S Dhawan,1478,36.04878049,122.45,1207,0,0,0,0.654851573,0.522446094,0.408166667,0,1,Batsman,54.11244574
TU Deshpande,0,0,0,3,39,9.69,120.1,0,0,0,0.464285714,0.636670416,Bowler,53.32395951
PP Chawla,40,5.714285714,102.56,39,36,8.55,101.4,0.017722641,0.082815735,0.341866667,0.428571429,0.679415073,Bowler,52.89088864
A Nortje,42,8.4,93.33,45,38,9.57,120.1,0.018608773,0.12173913,0.3111,0.452380952,0.641169854,Bowler,52.78965129
PWH de Silva,72,7.2,90,80,35,8.38,92.5,0.031900753,0.104347826,0.3,0.416666667,0.685789276,Bowler,52.43157105
H Klaasen,927,44.14285714,167.03,555,0,0,0,0.410722198,0.639751553,0.556766667,0,1,Batsman,52.32443449
B Sai Sudharsan,1034,47,134.29,770,0,0,0,0.458130261,0.68115942,0.447633333,0,1,Batsman,52.18899307
Mustafizur Rahman,12,0,60,20,35,8.83,123.1,0.005316792,0,0.2,0.416666667,0.668916385,Bowler,51.75665542
Tilak Varma,1156,39.86206897,139.28,830,0,0,0,0.512184315,0.577711144,0.464266667,0,1,Batsman,51.74670695
AD Russell,953,28.02941176,156.49,609,48,10.35,92.1,0.422241914,0.406223359,0.521633333,0.571428571,0.61192351,All-rounder,51.744016
S Dube,1308,32.7,143.26,913,1,13.42,7.3,0.57953035,0.473913043,0.477533333,0.011904762,0.496812898,Batsman,51.72460531
JR Hazlewood,19,0,65.52,29,34,8.45,93.3,0.008418254,0,0.2184,0.404761905,0.683164604,Bowler,51.61229846
RA Jadeja,774,33.65217391,131.86,587,46,7.58,187.2,0.342933097,0.487712665,0.439533333,0.547619048,0.715785527,All-rounder,51.51163389
DP Conway,924,48.63157895,138.12,669,0,0,0,0.409393,0.704805492,0.4604,0,1,Batsman,51.33188474
N Pooran,1248,32,152.75,817,0,0,0,0.552946389,0.463768116,0.509166667,0,1,Batsman,51.30589904
SP Narine,642,17.35135135,156.2,411,53,6.89,219.2,0.284448383,0.25146886,0.520666667,0.630952381,0.741657293,All-rounder,51.03271784
LH Ferguson,24,8,133.33,18,35,9.4,113.3,0.010633584,0.115942029,0.444433333,0.416666667,0.647544057,Bowler,50.90176228
HV Patel,117,8.357142857,104.46,112,82,9.06,211.1,0.051838724,0.121118012,0.3482,0.976190476,0.660292463,All-rounder,50.56810822
Ishan Kishan,1404,27.52941176,132.33,1061,0,0,0,0.622064688,0.398976982,0.4411,0,1,Batsman,50.08489697
DL Chahar,2,0,66.67,3,32,8.53,112.4,0.000886132,0,0.222233333,0.380952381,0.680164979,Bowler,50.06374203
DA Warner,1254,32.15384615,127.7,982,0,0,0,0.555604785,0.46599777,0.425666667,0,1,Batsman,48.97412451
AR Patel,740,27.40740741,129.14,573,43,7.39,182.1,0.327868852,0.397208803,0.430466667,0.511904762,0.722909636,All-rounder,48.78784468
RR Pant,1139,33.5,138.4,823,0,0,0,0.504652193,0.485507246,0.461333333,0,1,Batsman,48.59130512
DA Miller,1012,38.92307692,134.4,753,0,0,0,0.448382809,0.564102564,0.448,0,1,Batsman,48.29838928
DJ Bravo,70,23.33333333,145.83,48,29,8.31,70.5,0.031014621,0.338164251,0.4861,0.345238095,0.688413948,Bowler,48.25084364
Q de Kock,1196,30.66666667,132.59,902,0,0,0,0.529906956,0.444444444,0.441966667,0,1,Batsman,47.78861158
SO Hetmyer,968,35.85185185,148.69,651,0,0,0,0.428887904,0.519592056,0.495633333,0,1,Batsman,47.61227785
Sandeep Sharma,10,10,71.43,14,28,8.33,129.5,0.00443066,0.144927536,0.2381,0.333333333,0.687664042,Bowler,47.50656168
M Prasidh Krishna,6,3,46.15,13,28,8.73,105.3,0.002658396,0.043478261,0.153833333,0.333333333,0.672665917,Bowler,46.90663667
RG Sharma,1336,23.85714286,127.85,1045,0,0,0,0.591936198,0.345755694,0.426166667,0,1,Batsman,46.83511875
RA Tripathi,1190,27.04545455,138.37,860,0,0,0,0.52724856,0.391963109,0.461233333,0,1,Batsman,46.68583568
Mohsin Khan,25,8.333333333,92.59,27,27,8.7,84.3,0.01107665,0.120772947,0.308633333,0.321428571,0.673790776,Bowler,46.23734533
Umran Malik,23,11.5,143.75,16,29,9.71,86.3,0.010190518,0.166666667,0.479166667,0.345238095,0.63592051,Bowler,46.15110611
TM Head,567,40.5,184.69,307,0,0,0,0.251218432,0.586956522,0.615633333,0,1,Batsman,46.12643291
M Theekshana,7,7,100,7,25,7.98,105.1,0.003101462,0.101449275,0.333333333,0.297619048,0.700787402,Bowler,45.88863892
Yash Dayal,0,0,0,1,28,9.66,102.3,0,0,0,0.333333333,0.637795276,Bowler,45.51181102
UT Yadav,86,12.28571429,113.16,76,25,8.71,90.2,0.038103677,0.17805383,0.3772,0.297619048,0.673415823,Bowler,44.79377578
RK Singh,816,37.09090909,141.91,575,0,0,0,0.36154187,0.537549407,0.473033333,0,1,Batsman,44.779157
Noor Ahmad,13,3.25,72.22,18,24,8.29,85.3,0.005759858,0.047101449,0.240733333,0.285714286,0.689163855,Bowler,44.70941132
KD Karthik,989,26.72972973,154.53,640,0,0,0,0.438192291,0.387387387,0.5151,0,1,Batsman,44.60231325
GJ Maxwell,1168,26.54545455,155.11,753,18,8,67.5,0.517501108,0.384716733,0.517033333,0.214285714,0.700037495,All-rounder,44.30559448
Harshit Rana,2,1,66.67,3,25,9.2,67.1,0.000886132,0.014492754,0.222233333,0.297619048,0.65504312,Bowler,44.05886764
RM Patidar,791,34.39130435,150.67,525,0,0,0,0.350465219,0.498424701,0.502233333,0,1,Batsman,44.03834979
SS Iyer,927,34.33333333,125.1,741,0,0,0,0.410722198,0.497584541,0.417,0,1,Batsman,43.86642414
J Fraser-McGurk,330,36.66666667,220,150,0,0,0,0.146211786,0.531400966,0.733333333,0,1,Batsman,43.79050041
Naveen-ul-Haq,18,18,69.23,26,25,9.38,67.5,0.007975188,0.260869565,0.230766667,0.297619048,0.648293963,Bowler,43.78890139
PD Salt,653,34.36842105,169.61,385,0,0,0,0.289322109,0.498093059,0.565366667,0,1,Batsman,43.47667612
AK Markram,995,30.15151515,126.43,787,2,8.67,20.3,0.440850687,0.43697848,0.421433333,0.023809524,0.674915636,Batsman,43.38638188
HH Pandya,1148,26.69767442,129.86,884,22,9.43,95.1,0.508639787,0.386922818,0.432866667,0.261904762,0.646419198,All-rounder,43.25516482
PP Shaw,992,24.19512195,147.4,673,0,0,0,0.439521489,0.350653941,0.491333333,0,1,Batsman,42.84047779
R Ashwin,381,17.31818182,123.3,309,41,7.78,218.2,0.168808152,0.250988142,0.411,0.488095238,0.708286464,All-rounder,42.11457161
MM Ali,799,22.19444444,129.92,615,25,7.03,81.1,0.354009747,0.321658615,0.433066667,0.297619048,0.736407949,All-rounder,42.05780458
C Green,707,41.58823529,149.79,472,16,9.3,77,0.313247674,0.602728048,0.4993,0.19047619,0.651293588,All-rounder,41.53553167
SN Thakur,259,13.63157895,139.25,186,46,9.49,168,0.114754098,0.197559115,0.464166667,0.547619048,0.644169479,All-rounder,41.5329297
I Sharma,2,0,22.22,9,21,8.98,68.3,0.000886132,0,0.074066667,0.25,0.663292088,Bowler,41.53168354
SM Curran,563,24.47826087,124.28,453,35,10.21,125,0.249446167,0.354757404,0.414266667,0.416666667,0.617172853,All-rounder,41.36774148
Mukesh Kumar,10,10,50,20,24,10.59,70,0.00443066,0.144927536,0.166666667,0.285714286,0.602924634,Bowler,41.25984252
M Markande,21,0,150,14,21,9.21,72,0.009304386,0,0.5,0.25,0.654668166,Bowler,41.18672666
MA Agarwal,957,25.86486486,126.09,759,0,0,0,0.424014178,0.374853114,0.4203,0,1,Batsman,40.81516054
D Padikkal,1075,22.87234043,118.13,910,0,0,0,0.476295968,0.331483195,0.393766667,0,1,Batsman,40.80933456
Abhishek Sharma,1234,26.82608696,150.3,821,8,8.68,34,0.546743465,0.388783869,0.501,0.095238095,0.674540682,All-rounder,40.62958383
Kuldeep Yadav,126,21,85.14,148,47,8.22,145.3,0.055826318,0.304347826,0.2838,0.55952381,0.691788526,All-rounder,40.56022857
TG Southee,5,1,29.41,17,19,8.71,55,0.00221533,0.014492754,0.098033333,0.226190476,0.673415823,Bowler,40.50806149
MP Stoinis,1027,27.75675676,141.07,728,15,9.73,41.4,0.455028799,0.402271837,0.470233333,0.178571429,0.635170604,All-rounder,40.24870847
R Parag,900,25,132.74,678,1,13.33,10.5,0.398759415,0.362318841,0.442466667,0.011904762,0.500187477,Batsman,40.09394182
TH David,659,28.65217391,158.03,417,0,0,0,0.291980505,0.415248897,0.526766667,0,1,Batsman,39.93968712
NT Ellis,19,4.75,73.08,26,18,8.79,60.5,0.008418254,0.06884058,0.2436,0.214285714,0.670416198,Bowler,39.67379078
VG Arora,9,4.5,52.94,17,19,9.31,69.4,0.003987594,0.065217391,0.176466667,0.226190476,0.650918635,Bowler,39.60817398
JM Bairstow,732,27.11111111,145.82,502,0,0,0,0.324324324,0.392914654,0.486066667,0,1,Batsman,39.34241259
KH Pandya,625,18.38235294,114.89,544,28,7.95,141.5,0.276916261,0.266410912,0.382966667,0.333333333,0.701912261,All-rounder,39.31723411
PJ Cummins,292,22.46153846,160.44,182,31,9.85,103.4,0.129375277,0.325529543,0.5348,0.369047619,0.630671166,All-rounder,39.17730058
C Sakariya,20,3.333333333,64.52,31,17,8.67,68.3,0.00886132,0.048309179,0.215066667,0.202380952,0.674915636,Bowler,39.13948256
LS Livingstone,869,28.96666667,154.9,561,11,9.08,43.3,0.385024369,0.419806763,0.516333333,0.130952381,0.659542557,All-rounder,38.86201139
Akash Madhwal,4,0,80,5,19,9.83,46.3,0.001772264,0,0.266666667,0.226190476,0.631421072,Bowler,38.82827147
SS Tiwary,115,57.5,116.16,99,0,0,0,0.050952592,0.833333333,0.3872,0,1,Batsman,38.65410368
Shashank Singh,423,35.25,155.51,272,1,8.39,3.1,0.187416925,0.510869565,0.518366667,0.011904762,0.685414323,Batsman,38.37376396
RP Meredith,0,0,0,3,18,9.7,63.2,0,0,0,0.214285714,0.636295463,Bowler,38.30896138
Shivam Mavi,28,7,96.55,29,16,8.76,57.4,0.012405848,0.101449275,0.321833333,0.19047619,0.671541057,Bowler,38.29021372
VR Iyer,1326,31.57142857,132.6,1000,3,10.71,14,0.587505538,0.457556936,0.442,0.035714286,0.598425197,All-rounder,38.28339731
A Mishra,19,19,63.33,30,14,7.98,32.1,0.008418254,0.275362319,0.2111,0.166666667,0.700787402,Bowler,38.03149606
WP Saha,947,21.52272727,116.63,812,0,0,0,0.419583518,0.311923584,0.388766667,0,1,Batsman,37.80404823
M Jansen,66,9.428571429,98.51,67,18,10.04,74.3,0.029242357,0.136645963,0.328366667,0.214285714,0.623547057,Bowler,37.79902512
P Simran Singh,725,23.38709677,146.46,495,0,0,0,0.321222862,0.338943432,0.4882,0,1,Batsman,37.66321743
JM Sharma,730,22.8125,145.71,501,0,0,0,0.323438192,0.330615942,0.4857,0,1,Batsman,37.42700595
Mukesh Choudhary,6,6,100,6,16,9.55,49.4,0.002658396,0.086956522,0.333333333,0.19047619,0.64191976,Bowler,37.10536183
DR Sams,44,5.5,95.65,46,14,8.62,52,0.019494905,0.079710145,0.318833333,0.166666667,0.676790401,Bowler,37.07161605
B Kumar,121,12.1,88.32,137,43,8.63,202.3,0.053610988,0.175362319,0.2944,0.511904762,0.676415448,All-rounder,37.00410636
MS Dhoni,611,29.0952381,135.18,452,0,0,0,0.270713336,0.421670117,0.4506,0,1,Batsman,36.99663697
R Sai Kishore,13,13,216.67,6,13,8.41,31.5,0.005759858,0.188405797,0.722233333,0.154761905,0.684664417,Bowler,36.67229096
RD Chahar,104,7.428571429,100.97,103,41,7.98,165.3,0.046078866,0.107660455,0.336566667,0.488095238,0.700787402,All-rounder,36.24358932
N Rana,1062,25.90243902,129.83,818,3,8.54,13,0.47053611,0.375397667,0.432766667,0.035714286,0.679790026,All-rounder,36.2004163
T Stubbs,405,36.81818182,169.46,239,4,7.32,4.1,0.179441737,0.533596838,0.564866667,0.047619048,0.725534308,All-rounder,36.0050449
KV Sharma,34,6.8,161.9,21,17,10.77,46.5,0.015064245,0.098550725,0.539666667,0.202380952,0.596175478,Bowler,35.98987627
AS Joseph,12,12,63.16,19,15,9.82,66.3,0.005316792,0.173913043,0.210533333,0.178571429,0.631796025,Bowler,35.98612673
AM Rahane,701,23.36666667,133.78,524,0,0,0,0.310589278,0.338647343,0.445933333,0,1,Batsman,35.9609914
JJ Roy,435,33.46153846,135.51,321,0,0,0,0.192733717,0.484949833,0.4517,0,1,Batsman,35.80884368
MA Starc,9,4.5,81.82,11,17,10.97,44.3,0.003987594,0.065217391,0.272733333,0.202380952,0.588676415,Bowler,35.68991376
MJ Santner,38,7.6,73.08,52,9,7.18,40,0.016836509,0.110144928,0.2436,0.107142857,0.730783652,Bowler,35.65991751
WG Jacks,230,32.85714286,172.93,133,2,11.21,9.1,0.101905184,0.476190476,0.576433333,0.023809524,0.57967754,Batsman,35.65492164
JP Behrendorff,6,0,66.67,9,14,9.61,43.4,0.002658396,0,0.222233333,0.166666667,0.639670041,Bowler,35.58680165
RR Rossouw,420,28,155.56,270,0,0,0,0.186087727,0.405797101,0.518533333,0,1,Batsman,35.17342213
KR Sen,0,0,0,3,14,9.93,42.3,0,0,0,0.166666667,0.627671541,Bowler,35.10686164
Harpreet Brar,213,19.36363636,113.9,187,25,8,106.1,0.094373062,0.280632411,0.379666667,0.297619048,0.700037495,All-rounder,34.72126873
A Badoni,634,24.38461538,125.54,505,2,9.27,4.1,0.280903855,0.353400223,0.418466667,0.023809524,0.652418448,Batsman,34.39216088
AT Rayudu,666,21.48387097,132.41,503,0,0,0,0.295081967,0.311360449,0.441366667,0,1,Batsman,34.38509215
MR Marsh,440,20.95238095,133.33,330,17,9.22,43.4,0.194949047,0.303657695,0.444433333,0.202380952,0.654293213,All-rounder,34.27763921
K Kartikeya,9,4.5,69.23,13,10,8.65,40.1,0.003987594,0.065217391,0.230766667,0.119047619,0.675665542,Bowler,34.16947882
Vijaykumar Vyshak,14,7,107.69,13,13,10.15,40.3,0.006202924,0.101449275,0.358966667,0.154761905,0.619422572,Bowler,34.06261717
OC McCoy,8,8,160,5,11,9.3,30,0.003544528,0.115942029,0.533333333,0.130952381,0.651293588,Bowler,33.90888639
JO Holder,151,10.78571429,119.84,126,31,9.33,102.5,0.066902969,0.1563147,0.399466667,0.369047619,0.650168729,All-rounder,33.74958302
MA Wood,11,11,220,5,11,9.41,17,0.004873726,0.15942029,0.733333333,0.130952381,0.647169104,Bowler,33.74390701
M Ashwin,27,5.4,71.05,38,9,8.55,40.1,0.011962782,0.07826087,0.236833333,0.107142857,0.679415073,Bowler,33.60517435
CH Morris,29,5.8,93.55,31,12,10.08,36.2,0.012848914,0.084057971,0.311833333,0.142857143,0.622047244,Bowler,33.45331834
KR Mayers,379,29.15384615,137.32,276,0,0,0,0.16792202,0.422519509,0.457733333,0,1,Batsman,33.1244661
K Gowtham,61,12.2,132.61,46,8,8.43,30.5,0.027027027,0.176811594,0.442033333,0.095238095,0.683914511,Bowler,33.07086614
Simarjeet Singh,7,7,87.5,8,9,8.97,32.1,0.003101462,0.101449275,0.291666667,0.107142857,0.663667042,Bowler,32.97525309
NM Coulter-Nile,5,2.5,71.43,7,7,8.07,23.3,0.00221533,0.036231884,0.2381,0.083333333,0.697412823,Bowler,32.89651294
G Coetzee,14,3.5,63.64,22,13,11,36,0.006202924,0.050724638,0.212133333,0.154761905,0.587551556,Bowler,32.78777653
Shahbaz Ahmed,520,18.57142857,114.79,453,16,9.82,82.2,0.230394329,0.269151139,0.382633333,0.19047619,0.631796025,All-rounder,32.73485988
A Zampa,10,3.333333333,58.82,17,8,8.69,22.1,0.00443066,0.048309179,0.196066667,0.095238095,0.674165729,Bowler,32.68091489
R Tewatia,626,22.35714286,129.07,485,8,9.47,41.3,0.277359327,0.324016563,0.430233333,0.095238095,0.644919385,All-rounder,32.61646554
J Suchith,16,8,114.29,14,7,8.28,26.1,0.007089056,0.115942029,0.380966667,0.083333333,0.689538808,Bowler,32.58155231
WD Parnell,2,2,33.33,6,9,9.35,26.1,0.000886132,0.028985507,0.1111,0.107142857,0.649418823,Bowler,32.40532433
Abishek Porel,360,25.71428571,147.54,244,0,0,0,0.159503766,0.372670807,0.4918,0,1,Batsman,32.31427487
PVD Chameera,43,10.75,134.38,32,9,9.55,49.3,0.019051839,0.155797101,0.447933333,0.107142857,0.64191976,Bowler,32.10536183
S Kaul,8,0,100,8,7,8.89,34.1,0.003544528,0,0.333333333,0.083333333,0.666666667,Bowler,31.66666667
M Shahrukh Khan,547,19.53571429,133.74,409,0,0,0,0.242357111,0.283126294,0.4458,0,1,Batsman,31.56207327
DJ Hooda,776,18.04651163,121.82,637,3,8.71,24.1,0.343819229,0.261543647,0.406066667,0.035714286,0.673415823,All-rounder,31.43028431
MG Bracewell,58,29,118.37,49,6,8.64,11,0.025697829,0.420289855,0.394566667,0.071428571,0.676040495,Bowler,31.32733408
Ashutosh Sharma,189,27,160.17,118,0,0,0,0.083739477,0.391304348,0.5339,0,1,Batsman,31.10570952
KA Pollard,377,20.94444444,122.01,309,9,8.28,27.4,0.167035888,0.303542673,0.4067,0.107142857,0.689538808,All-rounder,30.99941973
Swapnil Singh,39,19.5,150,26,6,8.9,17.2,0.017279575,0.282608696,0.5,0.071428571,0.666291714,Bowler,30.93738283
CJ Jordan,49,9.8,113.95,43,9,10.33,49,0.021710235,0.142028986,0.379833333,0.107142857,0.612673416,Bowler,30.93550806
Rasikh Salam,35,7,97.22,36,9,10.33,30,0.015507311,0.101449275,0.324066667,0.107142857,0.612673416,Bowler,30.93550806
Fazalhaq Farooqi,3,0,23.08,13,6,8.93,27,0.001329198,0,0.076933333,0.071428571,0.665166854,Bowler,30.89238845
Dhruv Jurel,347,23.13333333,146.41,237,0,0,0,0.153743908,0.3352657,0.488033333,0,1,Batsman,30.84872733
DJ Mitchell,351,27,128.1,274,1,12.05,8.3,0.155516172,0.391304348,0.427,0.011904762,0.548181477,Batsman,30.76977731
KS Williamson,509,26.78947368,100,509,0,0,0,0.225520603,0.388253242,0.333333333,0,1,Batsman,30.66842136
Ramandeep Singh,170,28.33333333,160.38,106,6,9.59,7.3,0.075321223,0.410628019,0.5346,0.071428571,0.640419948,All-rounder,30.63610084
AB de Villiers,264,26.4,144.26,183,0,0,0,0.116969428,0.382608696,0.480866667,0,1,Batsman,30.58303801
R Dhawan,57,14.25,107.55,53,7,9.63,30,0.025254763,0.206521739,0.3585,0.083333333,0.638920135,Bowler,30.5568054
E Lewis,224,28,143.59,156,0,0,0,0.099246788,0.405797101,0.478633333,0,1,Batsman,30.50278455
Atharva Taide,247,27.44444444,139.55,177,0,0,0,0.109437306,0.397745572,0.465166667,0,1,Batsman,30.2648594
KA Jamieson,49,12.25,116.67,42,7,9.91,22.3,0.021710235,0.177536232,0.3889,0.083333333,0.628421447,Bowler,30.13685789
D Pretorius,44,11,157.14,28,6,9.56,27.4,0.019494905,0.15942029,0.5238,0.071428571,0.641544807,Bowler,29.94750656
MK Lomror,440,18.33333333,141.48,311,1,8.39,12.4,0.194949047,0.265700483,0.4716,0.011904762,0.685414323,Batsman,29.91697639
N Wadhera,350,23.33333333,134.1,261,0,0,0,0.155073106,0.338164251,0.447,0,1,Batsman,29.75785177
Nithish Kumar Reddy,303,33.66666667,137.1,221,3,11.24,19.4,0.134249003,0.487922705,0.457,0.035714286,0.578552681,All-rounder,29.50130283
MK Pandey,483,21.95454545,113.65,425,0,0,0,0.214000886,0.318181818,0.378833333,0,1,Batsman,29.47048999
Naman Dhir,140,23.33333333,166.67,84,0,0,0,0.062029242,0.338164251,0.555566667,0,1,Batsman,29.29309723
V Shankar,447,20.31818182,127.71,350,3,8.79,12.4,0.19805051,0.294466403,0.4257,0.035714286,0.670416198,All-rounder,29.24325877
Abdul Samad,447,17.88,135.45,330,1,8.5,2,0.19805051,0.259130435,0.4515,0.011904762,0.681289839,Batsman,29.24093342
RV Uthappa,345,23,129.21,267,0,0,0,0.152857776,0.333333333,0.4307,0,1,Batsman,29.03531103
R Ravindra,222,22.2,152.05,146,0,0,0,0.098360656,0.32173913,0.506833333,0,1,Batsman,28.79160014
R Powell,360,18.94736842,141.73,254,1,11.52,3.3,0.159503766,0.274599542,0.472433333,0.011904762,0.568053993,Batsman,28.79113691
Kartik Tyagi,9,3,90,10,6,10.42,36.1,0.003987594,0.043478261,0.3,0.071428571,0.609298838,Bowler,28.65766779
JD Unadkat,122,13.55555556,127.08,96,15,9.78,80.5,0.054054054,0.196457327,0.4236,0.178571429,0.633295838,All-rounder,28.4050006
Lalit Yadav,285,17.8125,103.26,276,10,9,49,0.126273815,0.258152174,0.3442,0.119047619,0.662542182,All-rounder,28.38303112
DG Nalkande,12,6,100,12,6,10.83,14.5,0.005316792,0.086956522,0.333333333,0.071428571,0.593925759,Bowler,28.04274466
A Raghuvanshi,163,23.28571429,149.54,109,0,0,0,0.072219761,0.33747412,0.498466667,0,1,Batsman,27.96701403
PBB Rajapaksa,277,21.30769231,137.81,201,0,0,0,0.122729287,0.308807135,0.459366667,0,1,Batsman,27.95438551
SD Hope,183,22.875,146.4,125,0,0,0,0.081081081,0.331521739,0.488,0,1,Batsman,27.82889542
KS Bharat,199,28.42857143,118.45,168,0,0,0,0.088170137,0.412008282,0.394833333,0,1,Batsman,27.73205394
Akash Deep,19,9.5,158.33,12,7,11.68,29.1,0.008418254,0.137681159,0.527766667,0.083333333,0.562054743,Bowler,27.48218973
Rahmanullah Gurbaz,289,22.23076923,126.75,228,0,0,0,0.128046079,0.322185061,0.4225,0,1,Batsman,27.46239499
D Brevis,230,23,130.68,176,1,26.67,0.3,0.101905184,0.333333333,0.4356,0.011904762,0,Batsman,27.14420735
TS Mills,0,0,0,3,6,11.43,17.5,0,0,0,0.071428571,0.571428571,Bowler,27.14285714
Washington Sundar,174,10.875,109.43,159,12,8.77,64.1,0.077093487,0.157608696,0.364766667,0.142857143,0.671166104,All-rounder,27.08653654
