,Unnamed: 0,Player,Runs_scored,Mathces_played,NO,HS,Batting_avg,Ballsfaced,Batting_strikerate,100,50,4s,6s,Wkts_taken,Overs_bowled,Runs_given,Bowling_avg,Bowling_economy,bowling_strikerate,4w,5w,Runs_scored_norm,Batting_avg_norm,Batting_strikerate_norm,Wkts_taken_norm,Bowling_economy_norm,Player_type,Overall_score
0,0,Andre Russell,222,15,2,64,31.71,120,185,0,1,20,16,19,29.2,295,15.52,10.05,9.26,0,0,0.454918033,0.685621622,0.917613214,0.904761905,0.052780396,All-rounder,61.34534824
1,1,Angkrish Raghuvanshi,163,10,0,54,23.29,105,155.23,0,1,16,8,0,0,0,0,0,0,0,0,0.334016393,0.503567568,0.769951887,0,1,Batsman,51.56623938
2,2,Anukul Roy,3,4,1,3,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0.006147541,0,0.496007143,0,1,Other Players,0
3,3,Harshit Rana,0,0,0,0,0,0,0,0,0,0,0,19,42.1,383,20.15,9.08,13.31,0,0,0,0,0,0.904761905,0.144203582,Bowler,60.05385755
4,4,Manish Pandey,42,1,0,42,42,31,135.48,0,0,2,2,0,0,0,0,0,0,0,0,0.086065574,0.908108108,0.671990477,0,1,Other Players,0
5,5,Mitchell Starc,9,14,3,6,4.5,11,81.81,0,0,1,0,17,41.5,444,26.11,10.61,14.76,1,0,0.018442623,0.097297297,0.405783443,0.80952381,0,Bowler,48.57142857
6,6,Nitish Rana,42,2,0,33,21,34,123.52,0,0,5,1,0,0,0,0,0,0,0,0,0.086065574,0.454054054,0.612668022,0,1,Other Players,0
7,7,Phil Salt,435,12,1,89,39.55,239,182,0,4,50,24,0,0,0,0,0,0,0,0,0.891393443,0.855135135,0.902732999,0,1,Batsman,88.39178174
8,8,Rahmanullah Gurbaz,62,3,0,39,31,46,134.78,0,0,7,4,0,0,0,0,0,0,0,0,0.12704918,0.67027027,0.668518427,0,1,Other Players,0
9,9,Ramandeep Singh,125,15,5,35,31.25,62,201.61,0,0,5,12,0,0,0,0,0,0,0,0,0.256147541,0.675675676,1,0,1,Batsman,60.51617191
10,10,Rinku Singh,168,15,2,26,18.67,113,148.67,0,0,13,8,0,0,0,0,0,0,0,0,0.344262295,0.403675676,0.737413819,0,1,Batsman,48.00317664
11,11,Shreyas Iyer,351,15,5,58,39,239,146.86,0,2,34,14,0,0,0,0,0,0,0,0,0.719262295,0.843243243,0.728436089,0,1,Batsman,75.92087178
12,12,Sunil Narine,488,15,0,109,34.86,270,180.74,1,3,50,33,17,55,368,21.64,6.69,19.41,0,0,1,0.75372973,0.896483309,0.80952381,0.369462771,All-rounder,76.42816529
13,13,Vaibhav Arora,1,10,2,1,0,1,100,0,0,0,0,11,30,276,25.09,9.2,16.36,0,0,0.00204918,0,0.496007143,0.523809524,0.132893497,Bowler,36.7443113
14,14,Varun Chakaravarthy,0,15,0,0,0,0,0,0,0,0,0,21,50,402,19.14,8.04,14.28,0,0,0,0,0,1,0.242224317,Bowler,69.68897267
15,15,Venkatesh Iyer,370,15,5,70,46.25,233,158.79,0,4,35,19,0,0,0,0,0,0,0,0,0.758196721,1,0.787609742,0,1,Batsman,83.9561611
