,striker,totalrunsscored,Total_batting_average,batting_strike_rate,totalballsfaced,totalwickets,economyrate,oversbowled_clean
0,A Badoni,634,24.384615384615383,125.54,505,2,9.27,4.1
1,A Kamboj,2,,100,2,2,11.07,11.2
2,A Manohar,231,16.5,127.62,181,0,,0
3,A Mishra,19,19,63.33,30,14,7.98,32.1
4,A Nortje,42,8.4,93.33,45,38,9.57,120.1
5,A Raghuvanshi,163,23.285714285714285,149.54,109,0,,0
6,A Tomar,4,4,50,8,0,,0
7,A Zampa,10,3.3333333333333335,58.82,17,8,8.69,22.1
8,AA Kulkarni,9,4.5,112.5,8,0,,0
9,AB de Villiers,264,26.4,144.26,183,0,,0
10,AD Russell,953,28.029411764705884,156.49,609,48,10.35,92.1
11,AF Milne,16,8,84.21,19,3,9.47,17
12,AJ Finch,86,17.2,122.86,70,0,,0
13,AJ Hosein,16,,145.45,11,1,10.5,4
14,AJ Turner,21,10.5,105,20,0,,0
15,AK Markram,995,30.151515151515152,126.43,787,2,8.67,20.3
16,AM Rahane,701,23.366666666666667,133.78,524,0,,0
17,AR Patel,740,27.40740740740741,129.14,573,43,7.39,182.1
18,AS Joseph,12,12,63.16,19,15,9.82,66.3
19,AS Roy,26,8.666666666666666,108.33,24,4,8.67,21.1
20,AT Rayudu,666,21.483870967741936,132.41,503,0,,0
21,AU Rashid,22,11,129.41,17,2,9.1,10
22,Abdul Basith,1,,100,1,0,,0
23,Abdul Samad,447,17.88,135.45,330,1,8.5,2
24,Abhishek Sharma,1234,26.82608695652174,150.3,821,8,8.68,34
25,Abishek Porel,360,25.714285714285715,147.54,244,0,,0
26,Akash Deep,19,9.5,158.33,12,7,11.68,29.1
27,Akash Madhwal,4,,80,5,19,9.83,46.3
28,Aman Hakim Khan,115,12.777777777777779,105.5,109,0,,0
29,Anmolpreet Singh,139,15.444444444444445,118.8,117,0,,0
30,Anuj Rawat,318,19.875,115.22,276,0,,0
31,Arjun Tendulkar,13,13,144.44,9,3,9.63,13.5
32,Arshad Khan,96,32,143.28,67,6,12.09,25.3
33,Arshad Khan (2),5,5,125,4,0,,0
34,Arshdeep Singh,29,7.25,74.36,39,61,9.16,201
35,Ashutosh Sharma,189,27,160.17,118,0,,0
36,Atharva Taide,247,27.444444444444443,139.55,177,0,,0
37,Avesh Khan,37,18.5,168.18,22,64,9.07,192.4
38,Azmatullah Omarzai,42,10.5,123.53,34,4,9.63,21.5
39,B Indrajith,21,7,67.74,31,0,,0
40,B Kumar,121,12.1,88.32,137,43,8.63,202.3
41,B Sai Sudharsan,1034,47,134.29,770,0,,0
42,BA Stokes,15,5,100,15,0,,0
43,BR Sharath,2,2,40,5,0,,0
44,C Green,707,41.588235294117645,149.79,472,16,9.3,77
45,C Sakariya,20,3.3333333333333335,64.52,31,17,8.67,68.3
46,CA Lynn,,,,,,,
47,CH Gayle,153,17,116.79,131,0,,0
48,CH Morris,29,5.8,93.55,31,12,10.08,36.2
49,CJ Jordan,49,9.8,113.95,43,9,10.33,49
50,CV Varun,15,7.5,45.45,33,64,8.02,207.2
51,D Brevis,230,23,130.68,176,1,26.67,0.3
52,D Ferreira,8,4,72.73,11,0,,0
53,D Padikkal,1075,22.872340425531913,118.13,910,0,,0
54,D Pretorius,44,11,157.14,28,6,9.56,27.4
55,D Wiese,21,21,190.91,11,0,,0
56,DA Miller,1012,38.92307692307692,134.4,753,0,,0
57,DA Warner,1254,32.15384615384615,127.7,982,0,,0
58,DG Nalkande,12,6,100,12,6,10.83,14.5
59,DJ Bravo,70,23.333333333333332,145.83,48,29,8.31,70.5
60,DJ Hooda,776,18.046511627906977,121.82,637,3,8.71,24.1
61,DJ Malan,26,26,100,26,0,,0
62,DJ Mitchell,351,27,128.1,274,1,12.05,8.3
63,DJ Willey,53,26.5,82.81,64,4,7.16,26.4
64,DL Chahar,2,,66.67,3,32,8.53,112.4
65,DP Conway,924,48.63157894736842,138.12,669,0,,0
66,DR Sams,44,5.5,95.65,46,14,8.62,52
67,DT Christian,12,2,63.16,19,4,9.36,14.1
68,Dhruv Jurel,347,23.133333333333333,146.41,237,0,,0
69,E Lewis,224,28,143.59,156,0,,0
70,EJG Morgan,124,10.333333333333334,93.94,132,0,,0
71,F du Plessis,2257,39.59649122807018,141.59,1594,0,,0
72,FA Allen,14,7,73.68,19,2,9.07,15.1
73,Fazalhaq Farooqi,3,,23.08,13,6,8.93,27
74,G Coetzee,14,3.5,63.64,22,13,11,36
75,GD Phillips,65,9.285714285714286,118.18,55,2,8.04,5.1
76,GHS Garton,2,2,50,4,3,8.94,16.1
77,GJ Maxwell,1168,26.545454545454547,155.11,753,18,8,67.5
78,Gulbadin Naib,19,19,126.67,15,0,,0
79,H Klaasen,927,44.142857142857146,167.03,555,0,,0
80,HC Brook,190,21.11111111111111,119.5,159,0,,0
81,HE van der Dussen,22,11,88,25,0,,0
82,HH Pandya,1148,26.697674418604652,129.86,884,22,9.43,95.1
83,HR Shokeen,66,22,98.51,67,5,9.6,35.3
84,HV Patel,117,8.357142857142858,104.46,112,82,9.06,211.1
85,Harbhajan Singh,2,,100,2,0,,0
86,Harpreet Brar,213,19.363636363636363,113.9,187,25,8,106.1
87,Harpreet Singh,103,20.6,110.75,93,0,,0
88,Harshit Rana,2,1,66.67,3,25,9.2,67.1
89,I Sharma,2,,22.22,9,21,8.98,68.3
90,Ishan Kishan,1404,27.529411764705884,132.33,1061,0,,0
91,J Fraser-McGurk,330,36.666666666666664,220,150,0,,0
92,J Suchith,16,8,114.29,14,7,8.28,26.1
93,J Yadav,34,17,130.77,26,2,7.57,21.4
94,JA Richardson,17,5.666666666666667,68,25,2,10.29,10.2
95,JC Archer,4,,100,4,2,10.66,21.3
96,JC Buttler,1841,40.91111111111111,140.21,1313,0,,0
97,JD Unadkat,122,13.555555555555555,127.08,96,15,9.78,80.5
98,JDS Neesham,31,7.75,106.9,29,5,8.25,12
99,JE Root,10,10,66.67,15,0,,0
100,JJ Bumrah,27,6.75,77.14,35,54,7.38,158.5
101,JJ Roy,435,33.46153846153846,135.51,321,0,,0
102,JM Bairstow,732,27.11111111111111,145.82,502,0,,0
103,JM Sharma,730,22.8125,145.71,501,0,,0
104,JO Holder,151,10.785714285714286,119.84,126,31,9.33,102.5
105,JP Behrendorff,6,,66.67,9,14,9.61,43.4
106,JR Hazlewood,19,,65.52,29,34,8.45,93.3
107,K Gowtham,61,12.2,132.61,46,8,8.43,30.5
108,K Kartikeya,9,4.5,69.23,13,10,8.65,40.1
109,K Rabada,72,10.285714285714286,105.88,68,54,9.1,172.2
110,K Yadav,0,,0,4,2,9.56,9
111,KA Jamieson,49,12.25,116.67,42,7,9.91,22.3
112,KA Maharaj,1,1,50,2,2,6.5,6
113,KA Pollard,377,20.944444444444443,122.01,309,9,8.28,27.4
114,KD Karthik,989,26.72972972972973,154.53,640,0,,0
115,KH Pandya,625,18.38235294117647,114.89,544,28,7.95,141.5
116,KK Ahmed,1,0.3333333333333333,25,4,47,9.05,157.4
117,KK Nair,16,8,88.89,18,0,,0
118,KL Nagarkoti,0,0,0,2,0,,0
119,KL Rahul,1945,44.20454545454545,127.12,1530,0,,0
120,KM Asif,0,0,0,2,4,9.71,17.3
121,KM Jadhav,67,16.75,103.08,65,0,,0
122,KR Mayers,379,29.153846153846153,137.32,276,0,,0
123,KR Sen,0,,0,3,14,9.93,42.3
124,KS Bharat,199,28.428571428571427,118.45,168,0,,0
125,KS Sharma,16,5.333333333333333,64,25,0,,0
126,KS Williamson,509,26.789473684210527,100,509,0,,0
127,KV Sharma,34,6.8,161.9,21,17,10.77,46.5
128,Kartik Tyagi,9,3,90,10,6,10.42,36.1
129,Kuldeep Yadav,126,21,85.14,148,47,8.22,145.3
130,Kumar Kushagra,3,1,42.86,7,0,,0
131,L Wood,9,,300,3,1,15.65,6.2
132,LB Williams,1,,50,2,1,12.43,7
133,LH Ferguson,24,8,133.33,18,35,9.4,113.3
134,LS Livingstone,869,28.966666666666665,154.9,561,11,9.08,43.3
135,Lalit Yadav,285,17.8125,103.26,276,10,9,49
136,Liton Das,4,4,100,4,0,,0
137,M Ashwin,27,5.4,71.05,38,9,8.55,40.1
138,M Jansen,66,9.428571428571429,98.51,67,18,10.04,74.3
139,M Markande,21,,150,14,21,9.21,72
140,M Prasidh Krishna,6,3,46.15,13,28,8.73,105.3
141,M Shahrukh Khan,547,19.535714285714285,133.74,409,0,,0
142,M Theekshana,7,7,100,7,25,7.98,105.1
143,M Vohra,50,8.333333333333334,116.28,43,0,,0
144,MA Agarwal,957,25.864864864864863,126.09,759,0,,0
145,MA Starc,9,4.5,81.82,11,17,10.97,44.3
146,MA Wood,11,11,220,5,11,9.41,17
147,MC Henriques,31,15.5,96.88,32,4,4.95,10.1
148,MD Shanaka,26,13,100,26,0,,0
149,MG Bracewell,58,29,118.37,49,6,8.64,11
150,MJ Santner,38,7.6,73.08,52,9,7.18,40
151,MJ Suthar,1,1,50,2,0,,0
152,MK Lomror,440,18.333333333333332,141.48,311,1,8.39,12.4
153,MK Pandey,483,21.954545454545453,113.65,425,0,,0
154,MM Ali,799,22.194444444444443,129.92,615,25,7.03,81.1
155,MM Sharma,2,1,11.76,17,40,9.47,85.3
