striker,totalrunsscored,Total_batting_average,batting_strike_rate,totalballsfaced,totalwickets,economyrate,oversbowled_clean
Andre Russell,222,31.71,185,120,19,10.05,29.2
Angkrish Raghuvanshi,163,23.29,155.23,105,0,0,0
Anukul Roy,3,0,100,3,0,0,0
Harshit Rana,0,0,0,0,19,9.08,42.1
Manish Pandey,42,42,135.48,31,0,0,0
Mitchell Starc,9,4.5,81.81,11,17,10.61,41.5
Nitish Rana,42,21,123.52,34,0,0,0
Phil Salt,435,39.55,182,239,0,0,0
Rahmanullah Gurbaz,62,31,134.78,46,0,0,0
Ramandeep Singh,125,31.25,201.61,62,0,0,0
Rinku Singh,168,18.67,148.67,113,0,0,0
Shreyas Iyer,351,39,146.86,239,0,0,0
Sunil Narine,488,34.86,180.74,270,17,6.69,55
Vaibhav Arora,1,0,100,1,11,9.2,30
Varun Chakaravarthy,0,0,0,0,21,8.04,50
Venkatesh Iyer,370,46.25,158.79,233,0,0,1
