,Team,actual,Predicted
0,Mumbai Indians,55.17241379,55.21092253758809
1,Royal Challengers Bengaluru,48.046875,48.096156042005326
2,Kolkata Knight Riders,51.98412698,51.94743112315622
3,Delhi Capitals,45.63492063,45.6824715391219
4,Punjab Kings,45.52845528,45.87474656368794
5,Chennai Super Kings,57.74058577,57.94837536306221
6,Rajasthan Royals,50.45045045,50.070521206784115
7,Sunrisers Hyderabad,48.35164835,47.890606307839334
8,Gujarat Titans,62.22222222,61.94178937265438
9,Lucknow Super Giants,54.54545455,55.014132964100426
