,striker,runs_1,runs_2,balls_faced_1,balls_faced_2,strike_rate_1,strike_rate_2,total_runs,total_balls,total_strike_rate,bowler,wickets_1,wickets_2,total_wickets
723,YS Chahal,9,28,22,67,40.909090909090914,41.79104478,37,89,41.57303370786517,YS Chahal,90,115,205
491,R Ashwin,455,345,392,306,116.07142857142858,112.74509803921569,800,698,114.61318051575931,R Ashwin,72,108,180
10,A Mishra,145,236,176,264,82.38636363636364,89.39393939393939,381,440,86.59090909,A Mishra,74,100,174
232,Harbhajan Singh,447,386,313,323,142.81150159744408,119.5046439628483,833,636,130.9748427672956,Harbhajan Singh,58,92,150
165,DJ Bravo,851,709,647,600,131.53013910355486,118.16666666666666,1560,1247,125.10024057738573,DJ Bravo,94,89,183
599,SL Malinga,18,70,26,77,69.23076923076923,90.90909091,88,103,85.43689320388349,SL Malinga,84,86,170
480,PP Chawla,335,289,327,253,102.44648318042813,114.22924901185772,624,580,107.58620689655172,PP Chawla,110,82,192
269,JJ Bumrah,32,36,34,46,94.11764705882352,78.26086956521739,68,80,85,JJ Bumrah,85,80,168
612,SP Narine,832,702,540,444,154.07407407407408,158.10810810810813,1534,984,155.8943089430894,SP Narine,100,80,180
99,B Kumar,99,207,105,233,94.28571428571428,88.84120172,306,338,90.53254437869822,B Kumar,102,79,181
512,RA Jadeja,1669,1290,1337,1041,124.83171278982796,123.9193083573487,2959,2378,124.4322960470984,RA Jadeja,82,78,160
398,MM Sharma,55,69,77,60,71.42857142857143,114.99999999999999,124,137,90.51094890510949,MM Sharma,57,75,132
550,Rashid Khan,203,342,154,201,131.8181818181818,170.1492537313433,545,355,153.52112676056336,Rashid Khan,75,74,149
231,HV Patel,126,123,107,107,117.75700934579439,114.95327102803739,249,214,116.35514018691589,HV Patel,71,64,135
634,Sandeep Sharma,6,48,17,56,35.294117647058826,85.71428571428571,54,73,73.97260273972603,Sandeep Sharma,73,64,137
60,AR Patel,839,814,685,633,122.48175182481751,128.59399684044234,1653,1318,125.41729893778452,AR Patel,61,62,123
293,K Rabada,80,126,81,126,98.76543209876543,100,206,207,99.51690821256038,K Rabada,56,61,120
665,TA Boult,74,9,58,24,127.58620689655173,37.5,83,82,101.21951219512195,TA Boult,61,60,121
193,DW Steyn,91,76,69,94,131.8840579710145,80.85106382978722,167,163,102.45398773006136,DW Steyn,42,55,97
419,Mohammed Siraj,27,82,39,83,69.23076923076923,98.79518072289156,109,122,89.34426229508196,Mohammed Siraj,38,55,93
481,PP Ojha,12,4,30,15,40,26.666666666666668,16,45,35.55555555555556,PP Ojha,37,52,89
732,Z Khan,61,56,56,85,108.92857142857142,65.88235294117646,117,141,82.97872340425532,Z Khan,50,52,102
607,SN Thakur,163,144,118,110,138.1355932,130.9090909090909,307,228,134.64912280701756,SN Thakur,44,50,94
147,CV Varun,14,11,29,20,48.275862068965516,55.00000000000001,25,49,51.02040816326531,CV Varun,34,49,83
239,I Sharma,32,25,30,41,106.66666666666667,60.97560975609756,57,71,80.28169014084507,I Sharma,43,49,92
418,Mohammed Shami,20,54,35,47,57.14285714285714,114.89361702127661,74,82,90.24390244,Mohammed Shami,78,49,127
510,R Vinay Kumar,152,158,126,163,120.63492063492063,96.93251533742331,310,289,107.26643598615917,R Vinay Kumar,56,49,105
13,A Nehra,6,35,19,44,31.57894736842105,79.54545454545455,41,63,65.07936507936508,A Nehra,59,47,106
515,RD Chahar,77,52,76,51,101.3157894736842,101.96078431372548,129,127,101.5748031496063,RD Chahar,28,47,75
41,AD Russell,1399,1085,838,674,166.94510739856804,160.9792284866469,2488,1515,164.22442244224422,AD Russell,69,46,115
257,JA Morkel,515,459,397,314,129.72292191435767,146.17834394904457,975,712,136.93820224719101,JA Morkel,39,46,85
324,KV Sharma,141,210,133,173,106.01503759398496,121.38728323699422,351,306,114.70588235294117,KV Sharma,30,46,76
686,UT Yadav,46,162,67,144,68.65671641791045,112.5,208,211,98.57819905,UT Yadav,98,46,144
305,KH Pandya,931,716,726,561,128.23691460055096,127.62923351158646,1647,1287,127.97202797202797,KH Pandya,31,45,76
333,L Balaji,20,16,29,21,68.96551724137932,76.19047619047619,36,50,72,L Balaji,32,44,76
460,P Kumar,188,152,180,143,104.44444444444446,106.2937062937063,340,323,105.26315789473684,P Kumar,47,43,90
359,M Muralitharan,13,7,18,12,72.22222222222221,58.333333333333336,20,30,66.66666666666666,M Muralitharan,21,42,64
615,SR Watson,1712,2162,1316,1572,130.09118541033436,137.53180661577608,3880,2892,134.1632088520055,SR Watson,51,41,92
262,JD Unadkat,84,113,73,97,115.06849315068493,116.49484536082475,197,170,115.88235294117648,JD Unadkat,59,40,99
475,PJ Cummins,257,258,216,143,118.9814814814815,180.41958041958043,515,359,143.4540389972145,PJ Cummins,24,39,63
