,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,totalrunsscored,totalballsfaced,batting_strike_rate,batting_strike_rate_2021,batting_strike_rate_2022,batting_strike_rate_2023,batting_strike_rate_2024
0,A Badoni,0,161,238,235,0,139,186,180,634,505,125.54,0,115.83,127.96,130.56
1,A Kamboj,0,0,0,2,0,0,0,2,2,2,100,0,0,0,100
2,A Manohar,0,108,114,9,0,79,86,16,231,181,127.62,0,136.71,132.56,56.25
3,A Mishra,0,0,19,0,0,0,30,0,19,30,63.33,0,0,63.33,0
4,A Nortje,0,1,37,4,0,7,29,9,42,45,93.33,0,14.29,127.59,44.44
5,A Raghuvanshi,0,0,0,163,0,0,0,109,163,109,149.54,0,0,0,149.54
6,A Tomar,0,4,0,0,0,8,0,0,4,8,50,0,50,0,0
7,A Zampa,0,0,10,0,0,0,17,0,10,17,58.82,0,0,58.82,0
8,AA Kulkarni,0,0,0,9,0,0,0,8,9,8,112.5,0,0,0,112.5
9,AB de Villiers,264,0,0,0,183,0,0,0,264,183,144.26,144.26,0,0,0
10,AD Russell,169,335,227,222,106,200,162,141,953,609,156.49,159.43,167.5,140.12,157.45
11,AF Milne,16,0,0,0,19,0,0,0,16,19,84.21,84.21,0,0,0
12,AJ Finch,0,86,0,0,0,70,0,0,86,70,122.86,0,122.86,0,0
13,AJ Hosein,0,0,16,0,0,0,11,0,16,11,145.45,0,0,145.45,0
14,AJ Turner,0,0,0,21,0,0,0,20,21,20,105,0,0,0,105
15,AK Markram,146,381,248,220,123,277,200,187,995,787,126.43,118.7,137.55,124,117.65
16,AM Rahane,0,133,326,242,0,131,193,200,701,524,133.78,0,101.53,168.91,121
17,AR Patel,40,182,283,235,52,122,216,183,740,573,129.14,76.92,149.18,131.02,128.42
18,AS Joseph,0,5,7,0,0,7,12,0,12,19,63.16,0,71.43,58.33,0
19,AS Roy,0,0,23,3,0,2,19,3,26,24,108.33,0,0,121.05,100
20,AT Rayudu,234,274,158,0,158,230,115,0,666,503,132.41,148.1,119.13,137.39,0
21,AU Rashid,0,0,22,0,0,0,17,0,22,17,129.41,0,0,129.41,0
22,Abdul Basith,0,0,1,0,0,0,1,0,1,1,100,0,0,100,0
23,Abdul Samad,92,4,169,182,79,7,131,113,447,330,135.45,116.46,57.14,129.01,161.06
24,Abhishek Sharma,98,426,226,484,78,329,166,248,1234,821,150.3,125.64,129.48,136.14,195.16
25,Abishek Porel,0,0,33,327,0,0,31,213,360,244,147.54,0,0,106.45,153.52
26,Akash Deep,0,0,17,2,0,2,8,2,19,12,158.33,0,0,212.5,100
27,Akash Madhwal,0,0,0,4,0,0,0,5,4,5,80,0,0,0,80
28,Aman Hakim Khan,0,5,110,0,0,3,106,0,115,109,105.5,0,166.67,103.77,0
29,Anmolpreet Singh,16,13,105,5,14,13,83,7,139,117,118.8,114.29,100,126.51,71.43
30,Anuj Rawat,0,129,91,98,1,123,72,80,318,276,115.22,0,104.88,126.39,122.5
31,Arjun Tendulkar,0,0,13,0,0,0,9,0,13,9,144.44,0,0,144.44,0
32,Arshad Khan,0,0,18,78,0,0,15,52,96,67,143.28,0,0,120,150
33,Arshad Khan (2),0,0,0,5,0,0,0,4,5,4,125,0,0,0,125
