,striker,runs_1,runs_2,balls_faced_1,balls_faced_2,strike_rate_1,strike_rate_2,total_runs,total_balls,total_strike_rate,bowler,wickets_1,wickets_2,total_wickets
0,A Ashish Reddy,166.0,114.0,115.0,81.0,144.34782608695653,140.74074074074073,280.0,196.0,142.85714285714286,A Ashish Reddy,7.0,11.0,18.0
1,A Badoni,464.0,170.0,338.0,167.0,137.27810650887574,101.79640718562875,634.0,505.0,125.54455445544555,A Badoni,1.0,1.0,2.0
2,A Chandila,4.0,0.0,7.0,0.0,57.14285714285714,0.0,4.0,7.0,57.14285714285714,A Chandila,3.0,8.0,11.0
3,A Chopra,51.0,2.0,72.0,3.0,70.83333333333334,66.66666666666666,53.0,75.0,70.66666666666667,0,0.0,0.0,0.0
4,A Choudhary,15.0,10.0,12.0,8.0,125.0,125.0,25.0,20.0,125.0,A Choudhary,3.0,2.0,5.0
5,A Dananjaya,4.0,0.0,5.0,0.0,80.0,0.0,4.0,5.0,80.0,A Dananjaya,0.0,0.0,0.0
6,A Flintoff,22.0,40.0,14.0,43.0,157.14285714285714,93.02325581395348,62.0,57.0,108.77192982456141,A Flintoff,1.0,1.0,2.0
7,A Kamboj,0.0,2.0,0.0,2.0,0.0,100.0,2.0,2.0,100.0,A Kamboj,2.0,0.0,2.0
8,A Kumble,11.0,24.0,16.0,33.0,68.75,72.72727272727273,35.0,49.0,71.42857142857143,A Kumble,27.0,18.0,45.0
9,A Manohar,175.0,56.0,119.0,62.0,147.05882352941177,90.32258064516128,231.0,181.0,127.62430939226519,0,0.0,0.0,0.0
10,A Mishra,145.0,236.0,176.0,264.0,82.38636363636364,89.39393939393939,381.0,440.0,86.5909090909091,A Mishra,74.0,100.0,174.0
11,A Mithun,8.0,26.0,5.0,21.0,160.0,123.80952380952381,34.0,26.0,130.76923076923077,A Mithun,5.0,2.0,7.0
12,A Mukund,19.0,0.0,22.0,1.0,86.36363636363636,0.0,19.0,23.0,82.6086956521739,0,0.0,0.0,0.0
13,A Nehra,6.0,35.0,19.0,44.0,31.57894736842105,79.54545454545455,41.0,63.0,65.07936507936508,A Nehra,59.0,47.0,106.0
