id,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate
0,A Badoni,0,161,238,235,0,139,186,180,0,2,0,0,0,12,1,12,0,13,0,25,634,505,2,25,38,125.54,4.1,9.27
1,A Kamboj,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,68,0,0,0,124,2,2,2,68,124,100,11.2,11.07
2,A Manohar,0,108,114,9,0,79,86,16,0,0,0,0,0,0,0,0,0,0,0,0,231,181,0,0,0,127.62,0,
3,A Mishra,0,0,19,0,0,0,30,0,6,0,7,1,66,0,115,12,82,0,154,20,19,30,14,193,256,63.33,32.1,7.98
4,A Nortje,0,1,37,4,0,7,29,9,12,9,10,7,187,143,251,140,222,230,387,310,42,45,38,721,1149,93.33,120.1,9.57
5,A Raghuvanshi,0,0,0,163,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,163,109,0,0,0,149.54,0,
6,A Tomar,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,50,0,
7,A Zampa,0,0,10,0,0,0,17,0,0,0,8,0,0,0,133,0,0,0,192,0,10,17,8,133,192,58.82,22.1,8.69
8,AA Kulkarni,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,112.5,0,
9,AB de Villiers,264,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,183,0,0,0,144.26,0,
10,AD Russell,169,335,227,222,106,200,162,141,5,17,7,19,90,176,99,188,149,297,182,325,953,609,48,553,953,156.49,92.1,10.35
