,player,seasons,num_seasons
0,A Ashish Reddy,"2012, 2013, 2015, 2016",4
1,A Badoni,"2022, 2023, 2024",3
2,A Chandila,"2012, 2013",2
3,A Chopra,"2007/08, 2009",2
4,A Choudhary,2017,1
5,A Dananjaya,2018,1
6,A Flintoff,2009,1
7,A Kamboj,2024,1
8,A Kumble,"2007/08, 2009, 2009/10",3
9,A Manohar,"2022, 2023, 2024",3
10,A Mishra,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2023, 2024",16
11,A Mithun,"2009, 2009/10, 2011, 2012, 2013",5
12,A Mukund,"2007/08, 2013",2
13,A Nehra,"2007/08, 2009, 2009/10, 2012, 2013, 2014, 2015, 2016, 2017",9
14,A Nel,2007/08,1
15,A Nortje,"2020/21, 2021, 2022, 2023, 2024",5
16,A Raghuvanshi,2024,1
17,A Singh,"2009, 2011, 2012",3
18,A Symonds,"2007/08, 2009, 2009/10, 2011",4
19,A Tomar,2022,1
20,A Uniyal,2009/10,1
21,A Zampa,"2016, 2017, 2020/21, 2023",4
22,AA Bilakhia,"2009, 2009/10",2
23,AA Chavan,"2011, 2012, 2013",3
24,AA Jhunjhunwala,"2009/10, 2011, 2012",3
25,AA Kazi,2011,1
26,AA Kulkarni,2024,1
27,AA Noffke,2007/08,1
28,AB Agarkar,"2007/08, 2009, 2009/10, 2011, 2012, 2013",6
29,AB Barath,2009/10,1
30,AB Dinda,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017",10
31,AB McDonald,"2009, 2009/10, 2011, 2012, 2013",5
32,AB de Villiers,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021",14
33,AC Blizzard,"2011, 2012",2
34,AC Gilchrist,"2007/08, 2009, 2009/10, 2011, 2012, 2013",6
35,AC Thomas,"2011, 2012",2
36,AC Voges,2009/10,1
37,AD Hales,2018,1
