,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024
0,A Badoni,0,161,238,235,0,139,186,180
1,A Kamboj,0,0,0,2,0,0,0,2
2,A Manohar,0,108,114,9,0,79,86,16
3,A Mishra,0,0,19,0,0,0,30,0
4,A Nortje,0,1,37,4,0,7,29,9
5,A Raghuvanshi,0,0,0,163,0,0,0,109
6,A Tomar,0,4,0,0,0,8,0,0
7,A Zampa,0,0,10,0,0,0,17,0
8,AA Kulkarni,0,0,0,9,0,0,0,8
9,AB de Villiers,264,0,0,0,183,0,0,0
10,AD Russell,169,335,227,222,106,200,162,141
11,AF Milne,16,0,0,0,19,0,0,0
12,AJ Finch,0,86,0,0,0,70,0,0
13,AJ Hosein,0,0,16,0,0,0,11,0
14,AJ Turner,0,0,0,21,0,0,0,20
15,AK Markram,146,381,248,220,123,277,200,187
16,AM Rahane,0,133,326,242,0,131,193,200
17,AR Patel,40,182,283,235,52,122,216,183
18,AS Joseph,0,5,7,0,0,7,12,0
19,AS Roy,0,0,23,3,0,2,19,3
20,AT Rayudu,234,274,158,0,158,230,115,0
21,AU Rashid,0,0,22,0,0,0,17,0
22,Abdul Basith,0,0,1,0,0,0,1,0
23,Abdul Samad,92,4,169,182,79,7,131,113
24,Abhishek Sharma,98,426,226,484,78,329,166,248
25,Abishek Porel,0,0,33,327,0,0,31,213
26,Akash Deep,0,0,17,2,0,2,8,2
27,Akash Madhwal,0,0,0,4,0,0,0,5
28,Aman Hakim Khan,0,5,110,0,0,3,106,0
29,Anmolpreet Singh,16,13,105,5,14,13,83,7
30,Anuj Rawat,0,129,91,98,1,123,72,80
31,Arjun Tendulkar,0,0,13,0,0,0,9,0
32,Arshad Khan,0,0,18,78,0,0,15,52
33,Arshad Khan (2),0,0,0,5,0,0,0,4
34,Arshdeep Singh,2,21,2,4,3,30,2,4
35,Ashutosh Sharma,0,0,0,189,0,0,0,118
36,Atharva Taide,0,0,186,61,0,0,136,41
37,Avesh Khan,5,22,0,10,3,13,1,5
38,Azmatullah Omarzai,0,0,0,42,0,0,0,34
39,B Indrajith,0,21,0,0,0,31,0,0
40,B Kumar,32,24,42,23,30,28,49,30
41,B Sai Sudharsan,0,145,362,527,0,118,264,388
42,BA Stokes,0,0,15,0,0,0,15,0
43,BR Sharath,0,0,0,2,0,0,0,5
44,C Green,0,0,452,255,0,0,287,185
45,C Sakariya,16,0,4,0,25,0,6,0
46,CH Gayle,153,0,0,0,131,0,0,0
47,CH Morris,29,0,0,0,31,0,0,0
48,CJ Jordan,32,11,6,0,21,9,13,0
49,CV Varun,2,12,1,0,4,18,11,0
50,D Brevis,0,161,0,69,0,116,0,60
51,D Ferreira,0,0,0,8,0,0,0,11
52,D Padikkal,400,376,261,38,327,317,206,60
53,D Pretorius,0,44,0,0,0,28,0,0
54,D Wiese,0,0,21,0,0,0,11,0
55,DA Miller,62,481,259,210,72,348,184,149
56,DA Warner,138,432,516,168,145,301,406,130
57,DG Nalkande,0,0,0,12,0,0,1,11
58,DJ Bravo,47,23,0,0,22,26,0,0
59,DJ Hooda,96,451,84,145,97,340,93,107
60,DJ Malan,26,0,0,0,26,0,0,0
61,DJ Mitchell,0,33,0,318,0,46,0,228
62,DJ Willey,0,18,35,0,0,32,32,0
63,DL Chahar,1,0,1,0,1,0,2,0
64,DP Conway,0,252,672,0,0,176,493,0
65,DR Sams,6,38,0,0,6,40,0,0
66,DT Christian,12,0,0,0,19,0,0,0
67,Dhruv Jurel,0,0,152,195,0,0,93,144
68,E Lewis,151,73,0,0,96,60,0,0
69,EJG Morgan,124,0,0,0,132,0,0,0
70,F du Plessis,621,468,730,438,458,377,483,276
71,FA Allen,6,8,0,0,12,7,0,0
72,Fazalhaq Farooqi,0,2,1,0,0,8,5,0
73,G Coetzee,0,0,0,14,0,0,0,22
74,GD Phillips,26,0,39,0,33,0,22,0
75,GHS Garton,2,0,0,0,4,0,0,0
76,GJ Maxwell,415,301,400,52,298,184,225,46
77,Gulbadin Naib,0,0,0,19,0,0,0,15
78,H Klaasen,0,0,448,479,0,0,262,293
79,HC Brook,0,0,190,0,0,0,159,0
80,HE van der Dussen,0,22,0,0,0,25,0,0
81,HH Pandya,99,487,346,216,89,387,254,154
82,HR Shokeen,0,43,23,0,0,48,19,0
83,HV Patel,55,43,6,13,45,42,6,19
84,Harbhajan Singh,2,0,0,0,2,0,0,0
85,Harpreet Brar,64,22,52,75,61,25,42,59
86,Harpreet Singh,0,0,76,27,0,0,59,34
87,Harshit Rana,0,2,0,0,0,2,1,0
88,I Sharma,0,0,1,1,0,0,1,8
89,Ishan Kishan,212,418,454,320,159,355,325,222
90,J Fraser-McGurk,0,0,0,330,0,0,0,150
91,J Suchith,14,2,0,0,6,8,0,0
92,J Yadav,34,0,0,0,26,0,0,0
93,JA Richardson,15,0,0,2,23,0,0,2
94,JC Archer,0,0,4,0,0,0,4,0
95,JC Buttler,227,863,392,359,153,596,298,266
96,JD Unadkat,30,59,9,24,25,37,7,27
97,JDS Neesham,0,31,0,0,2,27,0,0
98,JE Root,0,0,10,0,0,0,15,0
99,JJ Bumrah,15,0,0,12,14,9,0,12
100,JJ Roy,150,0,285,0,125,0,196,0
101,JM Bairstow,181,253,0,298,125,180,0,197
102,JM Sharma,0,234,309,187,0,149,205,147
103,JO Holder,81,58,12,0,68,46,12,0
104,JP Behrendorff,0,0,6,0,0,0,9,0
105,JR Hazlewood,0,18,1,0,0,27,2,0
106,K Gowtham,0,0,61,0,0,2,44,0
