,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
0,A Badoni,0,2,0,0,0.0,12.0,1.0,12.0,0.0,13.0,0.0,25.0
1,A Kamboj,0,0,0,2,0.0,0.0,0.0,68.0,0.0,0.0,0.0,124.0
2,A Mishra,6,0,7,1,66.0,0.0,115.0,12.0,82.0,0.0,154.0,20.0
3,A Nortje,12,9,10,7,187.0,143.0,251.0,140.0,222.0,230.0,387.0,310.0
4,A Zampa,0,0,8,0,0.0,0.0,133.0,0.0,0.0,0.0,192.0,0.0
5,AD Russell,5,17,7,19,90.0,176.0,99.0,188.0,149.0,297.0,182.0,325.0
6,AF Milne,3,0,0,0,87.0,15.0,0.0,0.0,142.0,19.0,0.0,0.0
7,AJ Hosein,0,0,1,0,0.0,0.0,24.0,0.0,0.0,0.0,42.0,0.0
8,AJ Tye,0,2,0,0,0.0,69.0,0.0,0.0,0.0,122.0,0.0,0.0
9,AK Markram,0,1,1,0,25.0,36.0,49.0,13.0,24.0,64.0,72.0,16.0
10,AR Patel,15,6,11,11,279.0,261.0,288.0,265.0,313.0,329.0,360.0,344.0
11,AS Joseph,0,7,7,1,0.0,185.0,150.0,64.0,0.0,280.0,233.0,138.0
12,AS Roy,0,1,3,0,0.0,42.0,51.0,34.0,0.0,55.0,68.0,60.0
13,AU Rashid,0,0,2,0,18.0,0.0,42.0,0.0,35.0,0.0,56.0,0.0
14,Abdul Samad,1,0,0,0,6.0,6.0,0.0,0.0,9.0,8.0,0.0,0.0
15,Abhishek Sharma,4,0,2,2,63.0,24.0,75.0,42.0,71.0,40.0,133.0,51.0
16,Akash Deep,0,5,1,1,0.0,119.0,33.0,23.0,0.0,213.0,70.0,57.0
17,Akash Madhwal,0,0,14,5,0.0,0.0,160.0,119.0,0.0,0.0,232.0,223.0
18,Akash Singh,0,0,5,0,24.0,0.0,117.0,0.0,39.0,0.0,191.0,0.0
19,Arjun Tendulkar,0,0,3,0,0.0,0.0,68.0,15.0,0.0,0.0,107.0,23.0
20,Arshad Khan,0,0,5,1,0.0,0.0,97.0,56.0,0.0,0.0,208.0,98.0
21,Arshdeep Singh,15,10,17,19,239.0,317.0,324.0,326.0,334.0,440.0,520.0,547.0
22,Avesh Khan,19,18,8,19,334.0,300.0,176.0,346.0,442.0,448.0,297.0,558.0
23,Azmatullah Omarzai,0,0,0,4,0.0,0.0,0.0,131.0,0.0,0.0,0.0,207.0
24,B Kumar,4,12,16,11,209.0,330.0,319.0,357.0,267.0,430.0,456.0,592.0
25,Basil Thampi,0,5,0,0,0.0,102.0,0.0,0.0,0.0,170.0,0.0,0.0
26,C Green,0,0,6,10,0.0,0.0,239.0,223.0,0.0,0.0,397.0,319.0
27,C Sakariya,11,3,3,0,285.0,71.0,55.0,0.0,400.0,96.0,96.0,0.0
28,CH Morris,12,0,0,0,218.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0
29,CJ Jordan,4,2,3,0,74.0,80.0,140.0,0.0,112.0,140.0,254.0,0.0
30,CR Woakes,1,0,0,0,25.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
31,CV Varun,17,6,20,21,367.0,245.0,323.0,309.0,404.0,355.0,473.0,429.0
32,D Brevis,0,1,0,0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0
33,D Jansen,0,0,1,0,0.0,0.0,28.0,0.0,0.0,0.0,57.0,0.0
34,D Pretorius,0,6,0,0,0.0,138.0,28.0,0.0,0.0,228.0,34.0,0.0
35,DG Nalkande,0,2,1,3,0.0,33.0,25.0,31.0,0.0,61.0,47.0,49.0
36,DJ Bravo,13,16,0,0,196.0,229.0,0.0,0.0,256.0,330.0,0.0,0.0
37,DJ Hooda,2,1,0,0,96.0,24.0,6.0,19.0,136.0,43.0,8.0,23.0
38,DJ Mitchell,0,0,0,1,0.0,13.0,0.0,38.0,0.0,28.0,0.0,72.0
39,DJ Willey,0,1,3,0,0.0,66.0,94.0,0.0,0.0,78.0,111.0,0.0
40,DL Chahar,14,0,13,5,315.0,0.0,215.0,146.0,434.0,0.0,318.0,207.0
41,DR Sams,1,13,0,0,38.0,274.0,0.0,0.0,41.0,407.0,0.0,0.0
42,DT Christian,4,0,0,0,85.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0
43,FA Allen,1,1,0,0,67.0,24.0,0.0,0.0,91.0,46.0,0.0,0.0
44,Fazalhaq Farooqi,0,2,4,0,0.0,76.0,86.0,0.0,0.0,114.0,127.0,0.0
45,G Coetzee,0,0,0,13,0.0,0.0,0.0,216.0,0.0,0.0,0.0,396.0
46,GD Phillips,1,0,1,0,13.0,0.0,18.0,0.0,21.0,0.0,20.0,0.0
47,GHS Garton,3,0,0,0,97.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0
48,GJ Maxwell,3,6,3,6,99.0,146.0,64.0,98.0,138.0,169.0,98.0,135.0
