,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
0,A Badoni,0,161,238,235,0,139,186,180,A Badoni,0,2,0,0,0,12,1,12,0,13,0,25
1,A Kamboj,0,0,0,2,0,0,0,2,A Kamboj,0,0,0,2,0,0,0,68,0,0,0,124
2,A Manohar,0,108,114,9,0,79,86,16,,,,,,,,,,,,,
3,A Mishra,0,0,19,0,0,0,30,0,A Mishra,6,0,7,1,66,0,115,12,82,0,154,20
4,A Nortje,0,1,37,4,0,7,29,9,A Nortje,12,9,10,7,187,143,251,140,222,230,387,310
5,A Raghuvanshi,0,0,0,163,0,0,0,109,,,,,,,,,,,,,
6,A Tomar,0,4,0,0,0,8,0,0,,,,,,,,,,,,,
7,A Zampa,0,0,10,0,0,0,17,0,A Zampa,0,0,8,0,0,0,133,0,0,0,192,0
8,AA Kulkarni,0,0,0,9,0,0,0,8,,,,,,,,,,,,,
9,AB de Villiers,264,0,0,0,183,0,0,0,,,,,,,,,,,,,
10,AD Russell,169,335,227,222,106,200,162,141,AD Russell,5,17,7,19,90,176,99,188,149,297,182,325
11,AF Milne,16,0,0,0,19,0,0,0,AF Milne,3,0,0,0,87,15,0,0,142,19,0,0
12,AJ Finch,0,86,0,0,0,70,0,0,,,,,,,,,,,,,
13,AJ Hosein,0,0,16,0,0,0,11,0,AJ Hosein,0,0,1,0,0,0,24,0,0,0,42,0
14,AJ Turner,0,0,0,21,0,0,0,20,,,,,,,,,,,,,
15,AK Markram,146,381,248,220,123,277,200,187,AK Markram,0,1,1,0,25,36,49,13,24,64,72,16
16,AM Rahane,0,133,326,242,0,131,193,200,,,,,,,,,,,,,
