Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
Y S Chahal,"MIN, RCB, RRO",160,37,5.29,205,22.45
P P Chawla,"KXI, KKR, CSK, MIN",192,624,11.14,192,26.6
D J J Bravo,"MIN, CSK, GUJ",161,1560,22.61,183,23.83
B Kumar,"PWI, SUN",176,306,8.74,181,27.23
S P Narine,KKR,177,1534,17.04,180,25.39
R Ashwin,"CSK, RPS, KXI, DDV, RRO",212,800,13.33,180,29.83
A Mishra,"DDV, DCH, SUN, LSG",162,381,11.91,174,23.84
S L Malinga,MIN,122,88,5.5,170,19.85
J J Bumrah,MIN,133,69,9.86,165,22.52
R A Jadeja,"RRO, KTK, CSK, GUJ",240,2959,27.4,160,30.4
Harbhajan Singh,"MIN, CSK, KKR",163,833,15.72,150,26.97
Rashid Khan,"SUN, GTI",121,545,14.73,149,21.83
U T Yadav,"DDV, KKR, RCB, GTI",148,208,9.9,144,29.83
Sandeep Sharma,"KXI, SUN, RRO",127,54,9,137,27.07
H V Patel,"RCB, DDV, KXI",106,249,9.22,135,23.33
M M Sharma,"CSK, KXI, DDV, GTI",112,124,7.29,132,24.67
Mohammed Shami,"KKR, DDV, KXI, GTI",110,74,5.69,127,26.87
A R Patel,"KXI, DDV",150,1653,21.47,123,30.55
T A Boult,"SUN, KKR, DDV, MIN, RRO",104,83,10.38,121,26.69
K Rabada,"DDV, KXI",80,206,12.12,117,21.97
A D Russell,"DDV, KKR",127,2484,29.22,115,23.01
A Nehra,"MIN, DDV, PWI, CSK, SUN",88,41,5.86,106,23.41
R Vinay Kumar,"RCB, KTK, KKR, MIN",105,310,11.07,105,28.25
Z Khan,"RCB, MIN, DDV",100,117,8.36,102,27.27
J D Unadkat,"KKR, RCB, DDV, RPS, RRO, MIN, LSG, SUN",105,197,12.31,99,32.23
D W Steyn,"RCB, DCH, SUN, GUJ",95,167,7.59,97,25.86
C H Morris,"CSK, RRO, DDV, RCB",81,618,22.07,95,24.16
S N Thakur,"KXI, RPS, CSK, DDV, KKR",95,307,12.28,94,30.52
Mohammed Siraj,"SUN, RCB",93,109,10.9,93,30.34
S R Watson,"RRO, RCB, CSK",145,3874,30.99,92,29.15
I Sharma,"KKR, DCH, SUN, RPS, KXI, DDV",110,57,9.5,92,34.52
P Kumar,"RCB, KXI, MIN, SUN, GUJ",119,340,8.95,90,36.12
R P Singh,"DCH, KTK, MIN, RCB, RPS",82,52,3.47,90,25.98
P P Ojha,"DCH, MIN",92,16,1.33,89,26.2
Kuldeep Yadav,"KKR, DDV",84,183,15.25,87,27.45
D S Kulkarni,"MIN, RRO, GUJ",92,104,11.56,86,28.77
J A Morkel,"CSK, RCB, DDV, RPS",91,974,24.35,85,27.75
C V Varun,"KXI, KKR",71,25,6.25,83,24.12
Imran Tahir,"DDV, RPS, CSK",59,33,8.25,82,20.77
I K Pathan,"KXI, DDV, SUN, RPS, GUJ",103,1139,21.49,80,33.11
M Morkel,"RRO, DDV, KKR",70,126,11.45,77,27.13
D L Chahar,"RPS, CSK",81,80,11.43,77,28.84
K H Pandya,"MIN, LSG",127,1647,22.56,76,34.29
K V Sharma,"RCB, SUN, MIN, CSK",84,351,13.5,76,27.46
L Balaji,"CSK, KKR, KXI",73,36,4.5,76,26.68
