,match_id,player,runs_scored_each_inning,total_runs_scored,balls_faced_each_inning
0,335982,AA Noffke,9,9,12
1,335982,B Akhil,0,76,2
2,335982,BB McCullum,158,2882,77
3,335982,CL White,6,971,10
4,335982,DJ Hussey,12,1322,12
5,335982,JH Kallis,8,2427,7
6,335982,MV Boucher,7,394,11
7,335982,Mohammad Hafeez,5,64,3
8,335982,P Kumar,18,340,17
9,335982,R Dravid,2,2174,3
10,335982,RT Ponting,20,91,20
11,335982,SB Joshi,3,6,8
12,335982,SC Ganguly,10,1349,12
13,335982,V Kohli,1,8014,5
14,335982,W Jaffer,6,130,18
15,335982,Z Khan,3,117,8
16,335983,IK Pathan,3,1150,5
17,335983,JDP Oram,13,106,11
18,335983,JR Hopes,71,417,34
19,335983,K Goel,24,218,20
20,335983,KC Sangakkara,54,1687,35
21,335983,MEK Hussey,116,1977,54
22,335983,ML Hayden,25,1107,17
23,335983,MS Dhoni,2,5243,3
24,335983,PA Patel,15,2848,11
25,335983,S Badrinath,31,1441,14
26,335983,SK Raina,32,5536,14
27,335983,SM Katich,21,241,17
28,335983,Yuvraj Singh,23,2754,13
29,335984,D Salunkhe,26,33,20
30,335984,DS Lehmann,1,18,2
31,335984,G Gambhir,58,4217,49
32,335984,M Kaif,9,259,19
33,335984,M Rawat,2,55,4
34,335984,RA Jadeja,29,2959,24
35,335984,S Dhawan,52,6769,44
36,335984,SK Trivedi,3,42,7
37,335984,SK Warne,14,198,13
38,335984,SR Watson,21,3880,15
39,335984,T Kohli,7,11,13
40,335984,V Sehwag,12,2728,4
41,335984,YK Pathan,10,3222,5
42,335985,AM Nayar,20,672,15
43,335985,B Akhil,3,76,6
44,335985,DJ Thornely,0,39,6
45,335985,Harbhajan Singh,2,833,2
46,335985,JH Kallis,25,2427,24
47,335985,L Ronchi,8,34,10
48,335985,LRPL Taylor,23,1017,13
49,335985,MV Boucher,39,394,20
50,335985,PR Shah,19,92,23
51,335985,R Dravid,32,2174,33
52,335985,RV Uthappa,48,4954,38
53,335985,S Chanderpaul,16,25,12
54,335985,SM Pollock,28,147,12
55,335985,ST Jayasuriya,29,768,17
56,335985,V Kohli,23,8014,15
57,335986,A Symonds,32,974,41
58,335986,AC Gilchrist,23,2069,24
59,335986,AS Yadav,10,49,10
60,335986,BB McCullum,5,2882,5
61,335986,DJ Hussey,38,1322,45
62,335986,LR Shukla,4,405,6
63,335986,Mohammad Hafeez,13,64,13
64,335986,RG Sharma,0,6630,3
65,335986,RP Singh,1,52,2
66,335986,RT Ponting,0,91,1
67,335986,SB Bangar,14,49,10
68,335986,SB Styris,6,131,7
69,335986,SC Ganguly,14,1349,35
70,335986,VVS Laxman,0,282,6
71,335986,WP Saha,10,2934,17
72,335986,WPUJC Vaas,0,81,1
73,335986,Y Venugopal Rao,14,985,14
74,335987,B Lee,0,124,2
75,335987,DPMD Jayawardene,2,1808,5
76,335987,DS Lehmann,17,18,17
77,335987,IK Pathan,12,1150,19
78,335987,JR Hopes,16,417,16
79,335987,K Goel,26,218,21
80,335987,KC Sangakkara,20,1687,8
81,335987,Kamran Akmal,15,128,10
82,335987,M Kaif,5,259,8
83,335987,PP Chawla,24,624,11
84,335987,RA Jadeja,36,2959,27
85,335987,S Sohal,4,368,4
86,335987,SR Watson,76,3880,51
87,335987,WA Mota,1,56,1
88,335987,YK Pathan,7,3222,6
89,335987,Yuvraj Singh,57,2754,35
90,335988,A Symonds,12,974,13
91,335988,AC Gilchrist,8,2069,9
92,335988,AS Yadav,12,49,7
93,335988,G Gambhir,12,4217,9
94,335988,RG Sharma,66,6630,37
95,335988,RP Singh,1,52,1
96,335988,S Dhawan,25,6769,31
97,335988,SB Bangar,8,49,14
98,335988,Shahid Afridi,2,81,7
99,335988,V Sehwag,94,2728,43
100,335988,VVS Laxman,2,282,6
101,335988,WPUJC Vaas,12,81,6
102,335988,Y Venugopal Rao,14,985,22
103,335989,A Nehra,1,41,2
104,335989,AM Nayar,45,672,20
105,335989,DJ Bravo,24,1560,17
106,335989,Harbhajan Singh,28,833,14
107,335989,JDP Oram,5,106,2
108,335989,L Ronchi,2,34,4
109,335989,MA Khote,9,24,5
110,335989,MEK Hussey,5,1977,9
111,335989,ML Hayden,81,1107,47
112,335989,MS Dhoni,30,5243,17
113,335989,PA Patel,14,2848,12
114,335989,RV Uthappa,43,4954,36
115,335989,S Badrinath,2,1441,1
116,335989,SK Raina,53,5536,39
117,335989,SM Pollock,17,147,18
118,335989,ST Jayasuriya,20,768,12
119,335990,A Symonds,117,974,57
120,335990,AC Gilchrist,13,2069,9
121,335990,AS Yadav,16,49,10
122,335990,D Salunkhe,1,33,1
123,335990,GC Smith,71,739,46
124,335990,Kamran Akmal,12,128,9
125,335990,M Kaif,34,259,16
126,335990,Pankaj Singh,4,7,3
127,335990,RA Jadeja,1,2959,3
128,335990,RG Sharma,36,6630,30
129,335990,SK Warne,22,198,9
130,335990,SR Watson,4,3880,6
131,335990,Shahid Afridi,10,81,4
132,335990,VVS Laxman,16,282,16
133,335990,YK Pathan,61,3222,29
134,335991,A Nehra,2,41,10
135,335991,AM Nayar,2,672,3
136,335991,B Lee,16,124,9
137,335991,DJ Bravo,23,1560,22
138,335991,DPMD Jayawardene,12,1808,7
139,335991,DS Kulkarni,2,104,17
140,335991,Harbhajan Singh,0,833,1
141,335991,IK Pathan,6,1150,3
142,335991,K Goel,18,218,21
143,335991,KC Sangakkara,94,1687,58
144,335991,L Ronchi,11,34,9
145,335991,MA Khote,8,24,7
146,335991,PP Chawla,0,624,1
147,335991,RR Sarwan,7,73,9
148,335991,RV Uthappa,21,4954,19
149,335991,S Sohal,0,368,4
150,335991,S Sreesanth,0,34,1
151,335991,SM Pollock,22,147,21
152,335991,SS Tiwary,17,1494,10
153,335991,ST Jayasuriya,1,768,7
154,335991,VRV Singh,4,4,2
155,335991,Yuvraj Singh,18,2754,9
156,335992,GC Smith,49,739,42
157,335992,JH Kallis,11,2427,10
158,335992,LRPL Taylor,44,1017,21
159,335992,M Kaif,4,259,6
160,335992,M Rawat,0,55,2
161,335992,MV Boucher,4,394,10
162,335992,P Kumar,34,340,30
163,335992,R Dravid,0,2174,1
164,335992,R Vinay Kumar,1,310,1
165,335992,S Chanderpaul,2,25,9
166,335992,SB Joshi,3,6,8
167,335992,SR Watson,61,3880,43
168,335992,V Kohli,13,8014,16
169,335992,YK Pathan,21,3222,12
170,335992,Z Khan,17,117,18
171,335993,AB Agarkar,11,179,9
172,335993,BB McCullum,24,2882,12
173,335993,DJ Hussey,0,1322,2
174,335993,I Sharma,4,57,3
175,335993,LR Shukla,42,405,35
176,335993,M Kartik,3,113,3
177,335993,ML Hayden,70,1107,50
178,335993,MS Dhoni,43,5243,27
179,335993,Mohammad Hafeez,16,64,24
180,335993,PA Patel,21,2848,30
181,335993,RT Ponting,0,91,1
182,335993,SC Ganguly,12,1349,21
183,335993,WP Saha,27,2934,16
184,335994,AC Gilchrist,109,2069,50
185,335994,AM Nayar,34,672,20
186,335994,AM Rahane,0,4642,7
187,335994,DJ Bravo,34,1560,18
188,335994,L Ronchi,13,34,11
189,335994,MA Khote,7,24,10
190,335994,RV Uthappa,6,4954,5
191,335994,SM Pollock,31,147,31
192,335994,ST Jayasuriya,18,768,23
193,335994,VVS Laxman,37,282,27
194,335995,B Lee,1,124,3
195,335995,DPMD Jayawardene,15,1808,15
196,335995,G Gambhir,18,4217,14
197,335995,IK Pathan,10,1150,7
198,335995,K Goel,1,218,3
199,335995,KC Sangakkara,4,1687,2
200,335995,KD Karthik,24,4843,14
201,335995,MF Maharoof,18,177,12
202,335995,MK Tiwary,39,1695,36
203,335995,R Bhatia,17,342,15
204,335995,S Dhawan,0,6769,3
205,335995,SM Katich,75,241,55
206,335995,Shoaib Malik,19,52,19
207,335995,TM Srivastava,7,8,9
208,335995,V Sehwag,6,2728,7
209,335995,VY Mahesh,6,15,5
210,335995,Yuvraj Singh,40,2754,29
211,335996,B Akhil,2,76,3
212,335996,B Chipli,8,280,12
213,335996,DW Steyn,1,167,2
214,335996,JH Kallis,14,2427,10
215,335996,LRPL Taylor,53,1017,36
216,335996,MEK Hussey,47,1977,37
217,335996,ML Hayden,13,1107,21
218,335996,MS Dhoni,65,5243,31
219,335996,MV Boucher,4,394,6
220,335996,P Kumar,6,340,5
221,335996,PA Patel,21,2848,17
222,335996,R Dravid,0,2174,1
223,335996,SK Raina,28,5536,17
224,335996,V Kohli,12,8014,7
225,335996,W Jaffer,50,130,36
226,335996,Z Khan,8,117,6
227,335997,AB Agarkar,2,179,7
228,335997,AM Rahane,4,4642,12
229,335997,BB McCullum,1,2882,2
230,335997,DB Das,29,304,21
231,335997,DJ Bravo,64,1560,53
232,335997,DJ Hussey,17,1322,20
233,335997,LR Shukla,40,405,24
234,335997,M Kartik,10,113,12
235,335997,MK Pandey,0,3859,4
236,335997,Mohammad Hafeez,2,64,6
237,335997,RT Ponting,19,91,31
238,335997,RV Uthappa,37,4954,39
239,335997,SC Ganguly,4,1349,2
240,335997,ST Jayasuriya,18,768,10
241,335998,G Gambhir,86,4217,54
242,335998,JH Kallis,54,2427,44
243,335998,KD Karthik,2,4843,4
244,335998,LRPL Taylor,29,1017,15
245,335998,MK Tiwary,11,1695,9
246,335998,MV Boucher,31,394,17
247,335998,P Kumar,6,340,5
248,335998,R Bhatia,8,342,5
249,335998,R Dravid,38,2174,30
250,335998,S Dhawan,50,6769,33
251,335998,Shoaib Malik,6,52,4
252,335998,V Kohli,1,8014,1
253,335998,V Sehwag,24,2728,13
254,335998,W Jaffer,10,130,9
255,335999,AC Gilchrist,6,2069,6
256,335999,D Kalyankrishna,3,3,8
257,335999,DNT Zoysa,1,11,2
258,335999,DPMD Jayawardene,45,1808,25
259,335999,HH Gibbs,7,886,10
260,335999,KC Sangakkara,3,1687,4
261,335999,RG Sharma,76,6630,42
262,335999,RP Singh,2,52,2
263,335999,RR Sarwan,15,73,15
264,335999,SB Bangar,3,49,8
265,335999,SE Marsh,84,2489,63
266,335999,Shahid Afridi,13,81,7
267,335999,VVS Laxman,48,282,35
268,335999,Y Venugopal Rao,1,985,2
269,335999,Yuvraj Singh,14,2754,10
270,336000,AB Agarkar,20,179,15
271,336000,AB Dinda,1,26,3
272,336000,BJ Hodge,1,1400,3
273,336000,DB Das,11,304,13
274,336000,DJ Hussey,42,1322,32
275,336000,GC Smith,2,739,7
276,336000,I Sharma,1,57,1
277,336000,LR Shukla,2,405,2
278,336000,M Kaif,21,259,19
279,336000,M Rawat,1,55,1
280,336000,RA Jadeja,33,2959,20
281,336000,SA Asnodkar,60,423,35
282,336000,SC Ganguly,51,1349,41
283,336000,SK Warne,7,198,8
284,336000,SR Watson,0,3880,1
285,336000,Salman Butt,7,193,8
286,336000,Sohail Tanvir,3,36,3
287,336000,Umar Gul,2,39,2
288,336000,WP Saha,1,2934,2
