,match_id,player,runs_scored_each_inning,total_runs_scored
0,335982,AA Noffke,9,9
1,335982,B Akhil,0,76
2,335982,BB McCullum,158,2882
3,335982,CL White,6,971
4,335982,DJ Hussey,12,1322
5,335982,JH Kallis,8,2427
6,335982,MV Boucher,7,394
7,335982,Mohammad Hafeez,5,64
8,335982,P Kumar,18,340
9,335982,R Dravid,2,2174
10,335982,RT Ponting,20,91
11,335982,SB Joshi,3,6
12,335982,SC Ganguly,10,1349
13,335982,V Kohli,1,8014
14,335982,W Jaffer,6,130
15,335982,Z Khan,3,117
16,335983,IK Pathan,3,1150
17,335983,JDP Oram,13,106
18,335983,JR Hopes,71,417
19,335983,K Goel,24,218
20,335983,KC Sangakkara,54,1687
21,335983,MEK Hussey,116,1977
22,335983,ML Hayden,25,1107
23,335983,MS Dhoni,2,5243
24,335983,PA Patel,15,2848
25,335983,S Badrinath,31,1441
26,335983,SK Raina,32,5536
27,335983,SM Katich,21,241
28,335983,Yuvraj Singh,23,2754
29,335984,D Salunkhe,26,33
30,335984,DS Lehmann,1,18
31,335984,G Gambhir,58,4217
32,335984,M Kaif,9,259
33,335984,M Rawat,2,55
34,335984,RA Jadeja,29,2959
35,335984,S Dhawan,52,6769
36,335984,SK Trivedi,3,42
37,335984,SK Warne,14,198
38,335984,SR Watson,21,3880
39,335984,T Kohli,7,11
40,335984,V Sehwag,12,2728
41,335984,YK Pathan,10,3222
42,335985,AM Nayar,20,672
43,335985,B Akhil,3,76
44,335985,DJ Thornely,0,39
45,335985,Harbhajan Singh,2,833
46,335985,JH Kallis,25,2427
47,335985,L Ronchi,8,34
48,335985,LRPL Taylor,23,1017
49,335985,MV Boucher,39,394
50,335985,PR Shah,19,92
51,335985,R Dravid,32,2174
52,335985,RV Uthappa,48,4954
53,335985,S Chanderpaul,16,25
54,335985,SM Pollock,28,147
55,335985,ST Jayasuriya,29,768
56,335985,V Kohli,23,8014
57,335986,A Symonds,32,974
58,335986,AC Gilchrist,23,2069
59,335986,AS Yadav,10,49
60,335986,BB McCullum,5,2882
61,335986,DJ Hussey,38,1322
62,335986,LR Shukla,4,405
63,335986,Mohammad Hafeez,13,64
64,335986,RG Sharma,0,6630
65,335986,RP Singh,1,52
